objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
371,20IH134,Shawmut Ave,601-609 Shawmut Ave,IS,63072000000,2009740130,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2507; METERED_FL=U; PLACEMENT=MIGRATED,20IH134,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{BAB6A15A-249D-5FBF-BA10-1C1A056C9CF9},-71.080548659999977,42.335686397000075,609 (STREET_FEA 3868),STREET_FEA 3868,70,derived_50_100_ft,boston-sam,350457,601-609 Shawmut Ave,Shawmut Ave,42.33587505,-71.08049575,Lenox Street & Shawmut Avenue,154,nearest_address
392,17IH38,Townsend St,60 Townsend St,IS,581126400000,1709740149,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1047; METERED_FL=U; PLACEMENT=MIGRATED,17IH38,,,US,USMET250,1988,,,,1,,1177632000000,chings,1456185600000,{71271F76-DD97-5606-BBD1-96622F89D86E},-71.091756585999974,42.318724852000059,60 OPP (STREET_FEA 4199),STREET_FEA 4199,92,derived_50_100_ft,boston-sam,136484,60 Townsend St,Townsend St,42.31884866,-71.09146060,Townsend Street & Walnut Avenue,262,nearest_address
398,19JH102,East Lenox Street,Near East Lenox Street & Fellows Street,IS,,1910740010,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=18; METERED_FL=U; PLACEMENT=MIGRATED,19JH102,,,MU,MUCENT,1991,,,,1,,1177632000000,connorsm,1225152000000,{8974278B-FC3F-5ABA-9EA8-F7987773CFDA},-71.076279278999948,42.332756512000060,STREET_FEA 1631,STREET_FEA 1631,178,intersection_preferred_150_plus_ft,boston-sam,161423,839R Albany St,Albany St,42.33226833,-71.07625993,East Lenox Street & Fellows Street,48,nearest_intersection
405,20IH184,Ruggles Street,Near Ruggles Street & Tremont Street,IS,,2009740261,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4216; METERED_FL=U; PLACEMENT=mulline,20IH184,,,KE,KEK81-A,1997,,,,1,,1247616000000,blundonr,1249430400000,{0C53A673-A8A6-592A-8DF0-2F8B6406CC50},-71.089337176999948,42.334263296000074,STREET_FEA 4514,STREET_FEA 4514,156,intersection_preferred_150_plus_ft,boston-sam,173666,1170 Tremont St,Tremont St,42.33441456,-71.08879605,Ruggles Street & Tremont Street,65,nearest_intersection
438,16IH12,Humboldt Ave,233 Humboldt Ave,IS,757382400000,1609740158,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2194; METERED_FL=U; PLACEMENT=MIGRATED,16IH12,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1231372800000,{330567DA-B327-5EF1-827D-370CF8D6A36D},-71.090568769999948,42.312000337000029,225 (STREET_FEA 2229),STREET_FEA 2229,69,derived_50_100_ft,boston-sam,75994,233 Humboldt Ave,Humboldt Ave,42.31191866,-71.09080060,Homestead Street & Humboldt Avenue,38,nearest_address
494,18HH170,Fort Ave,85 Fort Ave,IS,,1808740032,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2144; METERED_FL=U; PLACEMENT=MIGRATED,18HH170,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1231718400000,{4443F9BF-6044-58B0-A58A-37A532E86260},-71.096015131999934,42.326807609000070,81 OPP (STREET_FEA 1702),STREET_FEA 1702,55,derived_50_100_ft,boston-sam,59567,85 Fort Ave,Fort Ave,42.32681451,-71.09580914,Fort Avenue & Highland Park Avenue,75,nearest_address
516,16IH158,Gannett St,8 Gannett St,IS,,1609740074,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2174; METERED_FL=U; PLACEMENT=MIGRATED,16IH158,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1240531200000,{81CF7532-D223-50EA-993A-969B80EFBD80},-71.081645956999978,42.314432788000033,8 (STREET_FEA 1773),STREET_FEA 1773,39,derived_0_50_ft,boston-sam,62436,8 Gannett St,Gannett St,42.31449866,-71.08153060,Holborn Park & Holborn Street,164,nearest_address
555,18JH82,Vine St,39 Vine St,IS,,1810740062,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1692; METERED_FL=U; PLACEMENT=MIGRATED,18JH82,,,DA,ADB-84-B,1980,,,,1,,1177632000000,palaciolv,1231718400000,{EFA87249-C358-5234-BB78-2465F54B0346},-71.077812123999934,42.326252513000043,46 OPP (STREET_FEA 4314),STREET_FEA 4314,33,derived_0_50_ft,boston-sam,140728,39 Vine St,Vine St,42.32632867,-71.07788060,Vine Avenue & Vine Street,71,nearest_address
567,18JH215,Stafford St,6-10 Stafford St,IS,,1810740249,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1313; METERED_FL=U; PLACEMENT=MIGRATED,18JH215,,,DA,ADB-84-B,2001,,,,1,,1177632000000,palaciolv,1231718400000,{B195A8BD-A9CD-5A27-A43E-10A826F72D93},-71.076354114999958,42.322068133000073,13 OPP (STREET_FEA 3981),STREET_FEA 3981,45,derived_0_50_ft,boston-sam,130081,6-10 Stafford St,Stafford St,42.32218867,-71.07639059,Dennis Street & Stafford Street,120,nearest_address
571,18JH104,Woodward Ave,34 Woodward Ave,IS,1026259200000,1810740116,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1804; METERED_FL=U; PLACEMENT=MIGRATED,18JH104,,,MU,MUCENT,2002,,,,1,,1177632000000,mulline,1231372800000,{B358E5E9-6A1C-510C-8F02-AADF0EB4CF19},-71.073475953999946,42.325052250000056,27 OPP (STREET_FEA 4629),STREET_FEA 4629,62,derived_50_100_ft,boston-sam,152023,34 Woodward Ave,Woodward Ave,42.32521867,-71.07343059,Dunmore Street & Magazine Street,183,nearest_address
