objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
671,28KH92,Old Landing Way,74-92 Old Landing Way,IS,,2811740128,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1136; METERED_FL=U; PLACEMENT=MIGRATED,28KH92,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1221004800000,{12D1044A-92CE-59BE-8F11-F95B70601CD8},-71.055709887999967,42.379053695000039,80 OPP (STREET_FEA 2795),STREET_FEA 2795,96,derived_50_100_ft,boston-sam,353169,74-92 Old Landing Way,Old Landing Way,42.37931224,-71.05564689,Corey Street & Medford Street,58,nearest_address
674,28KH58,Pearl St,36 Pearl St,IS,,2811740140,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3719; METERED_FL=U; PLACEMENT=MIGRATED,28KH58,,,WA,WAWB67P,1980,,,,1,,1177632000000,denapolipd,1221004800000,{FD688D4A-D961-580E-B0E3-7485F21E834E},-71.064160644999959,42.378956021000079,36 (STREET_FEA 3266),STREET_FEA 3266,21,derived_0_50_ft,boston-sam,108813,36 Pearl St,Pearl St,42.37897868,-71.06423059,Pearl Street & Russell Street,29,nearest_address
686,27KH206,Vine St,20 Vine St,IS,,2711740260,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1289; METERED_FL=U; PLACEMENT=blundonr,27KH206,,,KE,KEK81-A,2008,,,,1,,1268179200000,BlundoNR,1291680000000,{0138E119-F49D-5C29-83CE-D71A197B4674},-71.055576559999963,42.376497610000058,STREET_FEA 4313,STREET_FEA 4313,109,derived_100_150_ft,boston-sam,172957,20 Vine St,Vine St,42.37647174,-71.05598152,Decatur Street & Vine Street,36,nearest_address
691,28JH56,Hood Park Drive,Near Hood Park Drive & Rutherford Avenue,IS,,2810740082,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=734; METERED_FL=U; PLACEMENT=MIGRATED,28JH56,,,MU,MUCENT,1993,,,,1,,1177632000000,mulline,1250121600000,{0B6E6143-91BC-5F27-A5DE-D52BEED56DE8},-71.071635156999946,42.380210512000076,440-458 (STREET_FEA 3725),STREET_FEA 3725,172,intersection_preferred_150_plus_ft,boston-sam,438521,50 Hood Park Dr,Hood Park Dr,42.38020611,-71.07227385,Hood Park Drive & Rutherford Avenue,205,nearest_intersection
718,27KH263,First Avenue,Near First Avenue & Third Street,IS,1393891200000,2711740287,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=1661; METERED_FL=U; PLACEMENT=samayoa-galvisr,27KH263,,,U,U,,,,,1,,1442880000000,samayoa-galvisr,1442880000000,{BB7315AA-29F8-5D9B-8A0C-E9F29818A578},-71.057175441999959,42.372621823000031,2 (STREET_FEA 4403),STREET_FEA 4403,183,intersection_preferred_150_plus_ft,boston-sam,459778,267 Constitution Rd,Constitution Rd,42.37308588,-71.05743798,First Avenue & Third Street,317,nearest_intersection
846,27KH220,Constitution Rd,88 Constitution Rd,IS,,2711740229,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=5648; METERED_FL=U; PLACEMENT=MIGRATED,27KH220,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{B7B55E29-2EB7-52ED-9E2D-9E504FBB76F9},-71.060236934999978,42.372202186000038,STREET_FEA 946,STREET_FEA 946,61,derived_50_100_ft,boston-sam,163846,88 Constitution Rd,Constitution Rd,42.37214947,-71.06002084,Chelsea Street & Warren Street,54,nearest_address
859,28KH22,School St,37 School St,IS,,2811740194,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4049; METERED_FL=U; PLACEMENT=MIGRATED,28KH22,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1255478400000,{CAD9DC1A-ED68-5701-8793-E8F0181EB35C},-71.064517202999980,42.377717035000046,50 (STREET_FEA 3819),STREET_FEA 3819,61,derived_50_100_ft,boston-sam,123794,37 School St,School St,42.37755068,-71.06452559,School Street & Summer Street,10,nearest_address
871,28JH74,Main St,290-300 Main St,IS,,2810740148,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4047; METERED_FL=U; PLACEMENT=MIGRATED,28JH74,,,US,USH205,1987,,,,1,,1177632000000,denapolipd,1220918400000,{9734EA61-A4C6-5699-8B12-6C8D6802CFF1},-71.067494649999958,42.377808648000041,294 (STREET_FEA 2652),STREET_FEA 2652,27,derived_0_50_ft,boston-sam,341374,290-300 Main St,Main St,42.37776100,-71.06756952,Main Street & Sullivan Street,50,nearest_address
872,28JH42,New Rutherford Avenue,Near New Rutherford Avenue & Rutherford Avenue,IS,,2810740161,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=100; METERED_FL=U; PLACEMENT=MIGRATED,28JH42,,,MU,MUCENT,2005,,,,1,,1177632000000,denapolipd,1220918400000,{30C7CCE1-C9C4-5FEA-BADF-E2F53F6C12C9},-71.069156408999959,42.377039741000033,STREET_FEA 3043,STREET_FEA 3043,156,intersection_preferred_150_plus_ft,boston-sam,340713,65-91 Dunstable St,Dunstable St,42.37725134,-71.06865034,New Rutherford Avenue & Rutherford Avenue,73,nearest_intersection
875,28KH112,Polk St,30 Polk St,IS,725846400000,2811740096,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=5136; METERED_FL=U; PLACEMENT=MIGRATED,28KH112,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1220918400000,{8D122AD1-894F-52ED-98C3-F7F55F239260},-71.060992871999986,42.379518402000031,30 (STREET_FEA 3340),STREET_FEA 3340,31,derived_0_50_ft,boston-sam,111432,30 Polk St,Polk St,42.37949021,-71.06110026,Polk Street & Walford Way,52,nearest_address
