objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
366,30OH110,Faywood Ave,116 Faywood Ave,IS,,3015740032,,,MANUAL,,,,,BWSC,SERVICE_AR=NH; CROSS_STRE=1188; METERED_FL=U; PLACEMENT=MIGRATED,30OH110,,,SM,SMH205,1976,,,,1,,1177632000000,blundonr,1255478400000,{57341976-DD71-56C1-A8EF-ABCFD690F0B9},-71.003848791999985,42.391771675000030,107 (STREET_FEA 1629),STREET_FEA 1629,41,derived_0_50_ft,boston-sam,57101,116 Faywood Ave,Faywood Ave,42.39165868,-71.00383057,Crestway Road & Faywood Avenue,288,nearest_address
424,28NH76,Moore St,126 Moore St,IS,,2814740055,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=1169; METERED_FL=U; PLACEMENT=MIGRATED,28NH76,,,MU,MUCENT,1992,,,,1,,1177632000000,chalmersh,1217894400000,{4C2C19D7-9138-54C7-AFBB-F17CE01C7A2C},-71.017227107999986,42.380750015000046,116-120 (STREET_FEA 2916),STREET_FEA 2916,27,derived_0_50_ft,boston-sam,423214,126 Moore St,Moore St,42.38079576,-71.01730664,Cowper Street & Moore Street,32,nearest_address
467,26LH52,New St,3-17 New St,IS,,2612740001,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4062; METERED_FL=U; PLACEMENT=MIGRATED,26LH52,,,KE,KEK81-A,1995,,,,1,,1177632000000,denapolipd,1217894400000,{0DF93160-045C-5B80-B2DC-F070C42055A4},-71.043447604999983,42.371199726000043,3-17 (STREET_FEA 3031),STREET_FEA 3031,67,derived_50_100_ft,boston-sam,346457,3-17 New St,New St,42.37101630,-71.04344316,Border Street & Landing Street,221,nearest_address
476,27MH4,London St,70 London St,IS,,2713740168,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2763; METERED_FL=U; PLACEMENT=MIGRATED,27MH4,,,US,USSEN,1981,,,,1,,1177632000000,connorsm,1217894400000,{B48F0F46-6D22-5922-A4F4-4118C6371EDC},-71.040447948999940,42.371745453000074,70 (STREET_FEA 2587),STREET_FEA 2587,29,derived_0_50_ft,boston-sam,87064,70 London St,London St,42.37179868,-71.04053058,London Street & Maverick Street,293,nearest_address
510,29PH22,Saint Andrew Rd,83-85 Saint Andrew Rd,IS,473385600000,2916740029,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3870; METERED_FL=U; PLACEMENT=MIGRATED,29PH22,,,MU,MUCENT,1985,,,,1,,1177632000000,blundonr,1255478400000,{E9BDC2B5-561C-530F-AF5E-1298036B41B0},-71.001370934999954,42.383964850000041,83-85 (STREET_FEA 3742),STREET_FEA 3742,36,derived_0_50_ft,boston-sam,120599,83-85 Saint Andrew Rd,Saint Andrew Rd,42.38386968,-71.00140857,Saint Andrew Road & Shawsheen Road,64,nearest_address
511,30OH120,Faywood Ave,203 Faywood Ave,IS,,3015740024,,,GPS,,,,,BWSC,SERVICE_AR=NH; CROSS_STRE=4272; METERED_FL=U; PLACEMENT=MIGRATED,30OH120,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{F8E6D3B9-719C-5F4C-A9F3-091A55403CFD},-71.008777321999958,42.392194716000063,199 (STREET_FEA 1629),STREET_FEA 1629,50,derived_0_50_ft,boston-sam,441977,203 Faywood Ave,Faywood Ave,42.39232264,-71.00884720,Montmorenci Avenue & Orient Avenue,398,nearest_address
543,26MH40,Seaver St,11-15 Seaver St,IS,,2613740175,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4062; METERED_FL=U; PLACEMENT=MIGRATED,26MH40,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1244505600000,{21F6076B-AF4C-5A87-B011-6C9E9851B049},-71.033799823999971,42.365897788000041,5 (STREET_FEA 3837),STREET_FEA 3837,50,derived_0_50_ft,boston-sam,344794,11-15 Seaver St,Seaver St,42.36603296,-71.03383897,Seaver Street & Sumner Street,125,nearest_address
544,27MH156,Bremen Street,Near Bremen Street & Brooks Street,IS,1193875200000,2713740192,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=connorsm,27MH156,,,U,U,,,,,1,,1301443200000,BlundoNR,1336348800000,{B2E224F3-4537-55AD-BB6C-B6827DA70CCD},-71.030874480999955,42.374103987000069,STREET_FEA 2,STREET_FEA 2,186,intersection_preferred_150_plus_ft,boston-sam,347661,1 Transportation Way,Transportation Way,42.37433129,-71.03025547,Bremen Street & Brooks Street,480,nearest_intersection
546,28MH60,Lexington St,78 Lexington St,IS,,2813740165,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2708; METERED_FL=U; PLACEMENT=MIGRATED,28MH60,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1217894400000,{05581E93-D333-5994-947F-9A60B009D022},-71.037013618999936,42.377950133000070,76 (STREET_FEA 2537),STREET_FEA 2537,46,derived_0_50_ft,boston-sam,85714,78 Lexington St,Lexington St,42.37806868,-71.03707058,Lexington Street & Marion Street,35,nearest_address
554,27MH161,Airport Road,Near Airport Road & Cottage Street,IS,,2713740197,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=connorsm,27MH161,,,U,U,,,,,1,,1301529600000,digiornom,1441929600000,{146139D9-DD93-5B6E-B1C6-0EC2D600E200},-71.028886001999979,42.374606688000028,STREET_FEA 148,STREET_FEA 148,382,intersection_preferred_150_plus_ft,boston-sam,347661,1 Transportation Way,Transportation Way,42.37433129,-71.03025547,Airport Road & Cottage Street,64,nearest_intersection
592,29NH42,Horace St,84 Horace St,IS,536457600000,2914740074,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=770; METERED_FL=U; PLACEMENT=MIGRATED,29NH42,,,WA,WAWB67P,1987,,,,1,,1177632000000,chalmersh,1217980800000,{703B330D-F3C5-5D45-94D9-6120007B476B},-71.016371459999959,42.382589067000026,94 (STREET_FEA 2205),STREET_FEA 2205,58,derived_50_100_ft,boston-sam,75353,84 Horace St,Horace St,42.38262868,-71.01658058,Byron Street & Horace Street,160,nearest_address
