objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
2165,24JH52,Beacon St,60P Beacon St,IS,,2410740153,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=908; METERED_FL=U; PLACEMENT=MIGRATED,24JH52,,,MU,MUCENT,2002,,,,1,,1177632000000,palaciolv,1224806400000,{909DFEEC-FF9D-5C29-8B37-72F8E0BC8CC0},-71.068557792999968,42.356113168000036,61 OPP (STREET_FEA 445),STREET_FEA 445,81,derived_50_100_ft,boston-sam,419982,60P Beacon St,Beacon St,42.35615842,-71.06826411,Beacon Street & Charles Street,191,nearest_address
2224,24JH56,Branch St,15 Branch St,IS,,2410740116,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=908; METERED_FL=U; PLACEMENT=MIGRATED,24JH56,,,KE,KEK81-A,1900,,,,1,,1177632000000,palaciolv,1224806400000,{B24D568C-A524-5592-B795-8830DB25ADC8},-71.068806617999940,42.356943064000063,19 OPP (STREET_FEA 650),STREET_FEA 650,42,derived_0_50_ft,boston-sam,356517,15 Branch St,Branch St,42.35682867,-71.06883059,Chestnut Street & West Cedar Street,123,nearest_address
2416,24JH98,Beacon St,42-43 Beacon St,IS,,2410740120,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4360; METERED_FL=U; PLACEMENT=MIGRATED,24JH98,,,MU,MUCENT,1989,,,,1,,1177632000000,palaciolv,1224806400000,{FFF9D838-E216-5F53-B16A-E5D11F2E3BCC},-71.066697063999982,42.356859572000076,43 (STREET_FEA 445),STREET_FEA 445,51,derived_50_100_ft,boston-sam,11441,42-43 Beacon St,Beacon St,42.35699867,-71.06671059,Beacon Street & Walnut Street,251,nearest_address
2506,24JH72,Charles River Sq,23 Charles River Sq,IS,,2410740017,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=919; METERED_FL=U; PLACEMENT=MIGRATED,24JH72,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{272DED8F-D50D-5965-A2B5-FB76F15B1155},-71.071773290999943,42.359680759000071,1 (STREET_FEA 916),STREET_FEA 916,38,derived_0_50_ft,boston-sam,29604,23 Charles River Sq,Charles River Sq,42.35959867,-71.07186060,Charles River Square & Storrow Drive,83,nearest_address
2714,25JH10,Lindall Pl,12 Lindall Pl,IS,1029456000000,2510740119,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=788; METERED_FL=U; PLACEMENT=MIGRATED,25JH10,,,MU,MUCENT,2002,,,,1,,1177632000000,dorleansr,1231891200000,{8EB54403-28D5-534C-8F90-8D8423C7F97A},-71.069469169999934,42.360629516000074,10 (STREET_FEA 2554),STREET_FEA 2554,23,derived_0_50_ft,boston-sam,86295,12 Lindall Pl,Lindall Pl,42.36060867,-71.06955059,Cambridge Street & Lindall Place,164,nearest_address
2735,25JH36,Cambridge St,272-274 Cambridge St,IS,,2510740109,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=789; METERED_FL=U; PLACEMENT=MIGRATED,25JH36,,,MU,MUCENT,1982,,,,1,,1177632000000,dorleansr,1231891200000,{3A858D26-1223-5D79-932C-DAF1806D4F4C},-71.067787367999983,42.360974012000042,8 (STREET_FEA 247),STREET_FEA 247,44,derived_0_50_ft,boston-sam,25263,272-274 Cambridge St,Cambridge St,42.36095867,-71.06795059,Anderson Street & Cambridge Street,53,nearest_address
2764,24KH802,Beacon St,38 Beacon St,IS,,2411740696,,,MANUAL,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=4360; METERED_FL=U; PLACEMENT=MIGRATED,24KH802,,,KE,KEK81-D,1996,,,,1,,1177632000000,orrda,1285632000000,{428C294B-34A3-531F-BA3A-B7D0E6382FCE},-71.065455007999958,42.355861983000068,STREET_FEA 445,STREET_FEA 445,63,derived_50_100_ft,boston-sam,341748,38 Beacon St,Beacon St,42.35589334,-71.06568437,Beacon Street & Walnut Street,427,nearest_address
2794,24JH68,Charles St,101 Charles St,IS,,2410740048,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3309; METERED_FL=U; PLACEMENT=MIGRATED,24JH68,,,MU,MUCENT,1982,,,,1,,1177632000000,dorleansr,1231718400000,{8A63EC50-5060-53CC-86B5-3B45EA45C502},-71.070634259999963,42.359015266000029,99 (STREET_FEA 908),STREET_FEA 908,42,derived_0_50_ft,boston-sam,29045,101 Charles St,Charles St,42.35905867,-71.07049059,Charles Street & Pinckney Street,86,nearest_address
2811,24JH62,Charles St,61-63A Charles St,IS,,2410740198,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=908; METERED_FL=U; PLACEMENT=MIGRATED,24JH62,,,US,USMET250,1990,,,,1,,1177632000000,dorleansr,1231718400000,{1657A806-F564-55E0-840F-6290FA251D66},-71.070197358999962,42.357857935000027,109 (STREET_FEA 2959),STREET_FEA 2959,34,derived_0_50_ft,boston-sam,163161,61-63A Charles St,Charles St,42.35795087,-71.07020801,Charles Street & Mount Vernon Street,36,nearest_address
2882,24JH108,Grove St,48 Grove St,IS,,2410740024,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4721; METERED_FL=U; PLACEMENT=MIGRATED,24JH108,,,MU,MUCENT,1968,,,,1,,1177632000000,dorleansr,1231718400000,{C158AB60-CD39-5DD2-95AC-D24ED58175E3},-71.068572871999947,42.359577484000056,61 (STREET_FEA 3560),STREET_FEA 3560,31,derived_0_50_ft,boston-sam,165861,48 Grove St,Grove St,42.35963076,-71.06848367,Grove Street & Revere Street,22,nearest_address
2901,24KH774,Beacon St,34hf Beacon St,IS,,2411740371,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2342; METERED_FL=U; PLACEMENT=MIGRATED,24KH774,,,MU,MUCENT,1989,,,,1,,1177632000000,dorleansr,1231804800000,{3FD14885-6E28-5FEE-9B23-3F423A2E718E},-71.065148938999982,42.357262722000030,34 1/2 (STREET_FEA 445),STREET_FEA 445,37,derived_0_50_ft,boston-sam,11173,34hf Beacon St,Beacon St,42.35733277,-71.06524950,Beacon Street & Joy Street,40,nearest_address
2977,24JH116,Myrtle St,63 Myrtle St,IS,,2410740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1774; METERED_FL=U; PLACEMENT=MIGRATED,24JH116,,,WA,WAWB67P,1989,,,,1,,1177632000000,dorleansr,1231718400000,{0492B6E2-3D09-53CA-91F7-5EFC6E87B2DD},-71.066718143999935,42.359339341000066,63 (STREET_FEA 2986),STREET_FEA 2986,25,derived_0_50_ft,boston-sam,99776,63 Myrtle St,Myrtle St,42.35940667,-71.06672059,Garden Street & Myrtle Street,31,nearest_address
3076,24JH10,Beaver St,2 Beaver St,IS,1024358400000,2410740157,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=456; METERED_FL=U; PLACEMENT=MIGRATED,24JH10,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{9B988911-168B-5724-B585-75CB9BE2A4CB},-71.072179422999966,42.356065089000026,2 (STREET_FEA 457),STREET_FEA 457,12,derived_0_50_ft,boston-sam,13001,2 Beaver St,Beaver St,42.35604867,-71.07214059,Beaver Place & Beaver Street,32,nearest_address
3161,25JH26,Cambridge St,310-320 Cambridge St,IS,599616000000,2510740105,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4721; METERED_FL=U; PLACEMENT=MIGRATED,25JH26,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{D7C71D2B-456B-5282-BA7F-09411AB4319B},-71.068884682999965,42.361011820000044,320-310 (STREET_FEA 788),STREET_FEA 788,43,derived_0_50_ft,boston-sam,25286,310-320 Cambridge St,Cambridge St,42.36093867,-71.06901059,Cambridge Street & Grove Street,46,nearest_address
3287,24JH26,Lime St,25 Lime St,IS,1292889600000,2410740107,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=674; METERED_FL=U; PLACEMENT=MIGRATED,24JH26,,,MU,MUCENT,1993,,,,1,,1177632000000,mulline,1426550400000,{26E417D0-F63A-5114-955B-9C37BCACB644},-71.071376920999967,42.357233888000053,25 (STREET_FEA 2548),STREET_FEA 2548,20,derived_0_50_ft,boston-sam,85940,25 Lime St,Lime St,42.35728867,-71.07136059,Brimmer Street & Lime Street,140,nearest_address
4101,24JH28,Otis Pl,1 Otis Pl,IS,,2410740104,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=674; METERED_FL=U; PLACEMENT=MIGRATED,24JH28,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1224806400000,{D820A443-2A51-5E81-8671-29C9FB879396},-71.072030035999944,42.357325297000045,166 (STREET_FEA 2959),STREET_FEA 2959,22,derived_0_50_ft,boston-sam,106075,1 Otis Pl,Otis Pl,42.35726867,-71.07206059,Brimmer Street & Mount Vernon Street,38,nearest_address
4149,24JH58,Chestnut St,64 Chestnut St,IS,,2410740112,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=75; METERED_FL=U; PLACEMENT=MIGRATED,24JH58,,,DA,ADB-84-B,1990,,,,1,,1177632000000,palaciolv,1224806400000,{8383B18C-006D-53C8-ACE0-E15D2E727D6C},-71.069144048999988,42.357125617000065,64 (STREET_FEA 964),STREET_FEA 964,25,derived_0_50_ft,boston-sam,31448,64 Chestnut St,Chestnut St,42.35705667,-71.06913259,Chestnut Street & West Cedar Street,23,nearest_address
4236,24KH830,Chestnut St,2 Chestnut St,IS,,2411740724,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4360; METERED_FL=U; PLACEMENT=denapolipd,24KH830,,,MU,MUCENT,2000,,,,1,,1247616000000,blundonr,1249430400000,{F904F1D8-70E0-5AE2-81E2-134554CD8BBB},-71.066179736999970,42.357777621000025,2 (STREET_FEA 964),STREET_FEA 964,34,derived_0_50_ft,boston-sam,31369,2 Chestnut St,Chestnut St,42.35768867,-71.06622059,Chestnut Street & Walnut Street,30,nearest_address
4258,24JH50,Pinckney Street,Near Pinckney Street & Storrow Drive,IS,,2410740050,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4021; METERED_FL=U; PLACEMENT=MIGRATED,24JH50,,,KE,KEK81-A,1995,,,,1,,1177632000000,mulline,1439251200000,{F5D60089-BF98-531B-B8CA-B5C91341D870},-71.072552389999942,42.358882176000066,STREET_FEA 5196,STREET_FEA 5196,174,intersection_preferred_150_plus_ft,boston-sam,110350,112 Pinckney St,Pinckney St,42.35861867,-71.07201060,Pinckney Street & Storrow Drive,78,nearest_intersection
4436,24JH93,Louisburg Sq,19 Louisburg Sq,IS,,2410740064,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2615; METERED_FL=U; PLACEMENT=MIGRATED,24JH93,,,KE,KEK81-A,1997,,,,1,,1177632000000,dorleansr,1231718400000,{A76D55C7-C021-5279-AACE-B9B079047272},-71.068601785999988,42.358814409000047,79 OPP (STREET_FEA 3309),STREET_FEA 3309,30,derived_0_50_ft,boston-sam,87604,19 Louisburg Sq,Louisburg Sq,42.35875867,-71.06852059,Louisburg Square & Pinckney Street,26,nearest_address
4543,24JH112,Phillips St,62 Phillips St,IS,,2410740008,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4721; METERED_FL=U; PLACEMENT=MIGRATED,24JH112,,,MU,MUCENT,1972,,,,1,,1177632000000,dorleansr,1231718400000,{6E18C57D-F1D5-593E-820E-BAE30927709D},-71.068841317999954,42.360248756000033,62 (STREET_FEA 3297),STREET_FEA 3297,18,derived_0_50_ft,boston-sam,110071,62 Phillips St,Phillips St,42.36020867,-71.06888059,Grove Street & Phillips Street,45,nearest_address
