objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
4868,23KH858,Beach St,31-37 Beach St,IS,,2311740718,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2030; METERED_FL=U; PLACEMENT=MIGRATED,23KH858,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{2AB9F0EA-51AB-5986-A7FD-710525E4F6FE},-71.061343573999977,42.351416970000059,31-37 (STREET_FEA 440),STREET_FEA 440,85,derived_50_100_ft,boston-sam,9389,31-37 Beach St,Beach St,42.35132567,-71.06163459,Beach Street & Harrison Avenue,48,nearest_address
4870,22KH98,Hudson St,65 Hudson St,IS,1248307200000,2211740005,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2051; METERED_FL=U; PLACEMENT=MIGRATED,22KH98,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1280793600000,{A88E8FD8-F3DB-516F-BF43-7FE7F6DA40BA},-71.060680113999979,42.349342646000025,65 (STREET_FEA 2225),STREET_FEA 2225,19,derived_0_50_ft,boston-sam,166371,65 Hudson St,Hudson St,42.34939335,-71.06069423,Harvard Street & Hudson Street,30,nearest_address
4910,22KH773,Hudson St,79 Hudson St,IS,1012780800000,2211740245,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2051; METERED_FL=U; PLACEMENT=MIGRATED,22KH773,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1244505600000,{4269207A-88AC-5506-9EA7-440CDB58A5C2},-71.060892961999969,42.348836007000045,79 (STREET_FEA 2225),STREET_FEA 2225,38,derived_0_50_ft,boston-sam,75882,79 Hudson St,Hudson St,42.34893867,-71.06092059,Harvard Street & Hudson Street,168,nearest_address
5425,23KH844,Tyler St,23-27 Tyler St,IS,,2311740728,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH844,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{936F5F9F-94E1-5DBA-AE93-2C57B44182E7},-71.060730587999956,42.350655061000055,22 (STREET_FEA 4243),STREET_FEA 4243,45,derived_0_50_ft,boston-sam,170647,23-27 Tyler St,Tyler St,42.35071432,-71.06087621,Kneeland Street & Tyler Street,77,nearest_address
5653,23KH112,Harrison Ave,40-44 Harrison Ave,IS,536457600000,2311740414,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2030; METERED_FL=U; PLACEMENT=MIGRATED,23KH112,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1244505600000,{571E81FA-3975-5BD2-A1E1-87A639692CC7},-71.061070605999987,42.351592438000068,48 (STREET_FEA 440),STREET_FEA 440,21,derived_0_50_ft,boston-sam,340723,40-44 Harrison Ave,Harrison Ave,42.35160853,-71.06099682,Beach Street & Harrison Avenue,51,nearest_address
5722,22KH82,Harrison Ave,224-236 Harrison Ave,IS,1248307200000,2211740071,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4103; METERED_FL=U; PLACEMENT=MIGRATED,22KH82,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1280966400000,{204D9A56-1489-5665-932D-803BC692D383},-71.061366892999956,42.347774832000027,STREET_FEA 2225,STREET_FEA 2225,88,derived_50_100_ft,boston-sam,166038,224-236 Harrison Ave,Harrison Ave,42.34782739,-71.06168475,Hudson Street & Tai Tung Street,143,nearest_address
6085,22KH72,Harrison Ave,215 Harrison Ave,IS,,2211740232,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3119; METERED_FL=U; PLACEMENT=MIGRATED,22KH72,,,MU,MUCENT,2000,,,,1,,1177632000000,louisjamey,1457913600000,{24972468-FC62-5548-9369-2D1DA607D594},-71.062473153999974,42.348026406000031,210 (STREET_FEA 2030),STREET_FEA 2030,74,derived_50_100_ft,boston-sam,69813,215 Harrison Ave,Harrison Ave,42.34804767,-71.06274859,Harrison Avenue & Oak Street,58,nearest_address
6383,22KH92,Tyler St,66-70 Tyler St,IS,,2211740002,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2051; METERED_FL=U; PLACEMENT=MIGRATED,22KH92,,,MU,MUCENT,2000,,,,1,,1177632000000,chalmersh,1250208000000,{D1E8E75A-D9C9-5D1D-BA44-378BE2032514},-71.061222871999973,42.349410080000041,56 (STREET_FEA 4243),STREET_FEA 4243,15,derived_0_50_ft,boston-sam,138825,66-70 Tyler St,Tyler St,42.34938067,-71.06118559,Harvard Street & Tyler Street,35,nearest_address
6560,23KH853,Harrison Ave,27-35 Harrison Ave,IS,,2311740720,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3187; METERED_FL=U; PLACEMENT=MIGRATED,23KH853,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{01C759BA-C663-5C79-9532-523081517399},-71.061320174999935,42.351889597000024,25 (STREET_FEA 2030),STREET_FEA 2030,45,derived_0_50_ft,boston-sam,69823,27-35 Harrison Ave,Harrison Ave,42.35180667,-71.06144359,Harrison Avenue & Oxford Place,34,nearest_address
6698,23KH931,Oxford Pl,11 Oxford Pl,IS,1024358400000,2311740861,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2030; METERED_FL=U; PLACEMENT=MIGRATED,23KH931,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1244505600000,{9EE138FD-753E-5EB1-B835-D11863486FAA},-71.060657083999956,42.351682326000059,11 OPP (STREET_FEA 3187),STREET_FEA 3187,28,derived_0_50_ft,boston-sam,106193,11 Oxford Pl,Oxford Pl,42.35166867,-71.06076059,Beach Street & Tyler Street,123,nearest_address
6952,23KH98,Harvard St,13-23 Harvard St,IS,662688000000,2311740641,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2894; METERED_FL=U; PLACEMENT=MIGRATED,23KH98,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1244505600000,{33CBF310-9DC8-5B9B-AE2C-6C05E3B01243},-71.062645831999987,42.350020279000034,STREET_FEA 2051,STREET_FEA 2051,53,derived_50_100_ft,boston-sam,70445,13-23 Harvard St,Harvard St,42.34988667,-71.06272159,Harvard Street & Monsignor Shea Road,36,nearest_address
7060,22KH24,Washington St,882-892 Washington St,IS,,2211740052,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3119; METERED_FL=U; PLACEMENT=MIGRATED,22KH24,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1244505600000,{F696E9EE-5C37-5BA9-BDC1-01FC5359867D},-71.064148455999941,42.348236749000080,888 (STREET_FEA 4392),STREET_FEA 4392,82,derived_50_100_ft,boston-sam,347638,882-892 Washington St,Washington St,42.34804871,-71.06397747,Oak Street & Oak Street West,70,nearest_address
7422,23KH138,Beach St,57-59 Beach St,IS,599616000000,2311740470,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3189; METERED_FL=U; PLACEMENT=MIGRATED,23KH138,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1244505600000,{34329810-00DE-5ADE-805D-D55BB0B2A891},-71.060288756999967,42.351246822000064,57-59 (STREET_FEA 440),STREET_FEA 440,25,derived_0_50_ft,boston-sam,161863,57-59 Beach St,Beach St,42.35122294,-71.06037428,Beach Street & Oxford Street,22,nearest_address
