objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
121,15LH22,Rockmere St,11 Rockmere St,IS,,1512740002,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1886; METERED_FL=U; PLACEMENT=MIGRATED,15LH22,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1224720000000,{EB2099BB-A712-5CDF-8668-E1DACF57083C},-71.050844248999965,42.310865743000079,11 (STREET_FEA 3645),STREET_FEA 3645,38,derived_0_50_ft,boston-sam,117763,11 Rockmere St,Rockmere St,42.31076866,-71.05079059,Grampian Way & Rockmere Street,181,nearest_address
125,15KH52,Adams St,29 Adams St,IS,,1511740102,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4581; METERED_FL=U; PLACEMENT=MIGRATED,15KH52,,,KE,KEK81-A,2007,,,,1,,1177632000000,denapolipd,1224720000000,{6BEDDA15-4C57-555C-9B20-F0BF7A55502E},-71.063030875999971,42.307582317000026,29 (STREET_FEA 130),STREET_FEA 130,38,derived_0_50_ft,boston-sam,627,29 Adams St,Adams St,42.30747866,-71.06304059,Adams Street & East Street,81,nearest_address
127,11LH145,Neponset Ave,465 Neponset Ave,IS,,1112740154,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1771; METERED_FL=U; PLACEMENT=MIGRATED,11LH145,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{B3B16AC0-6E27-5085-8B83-14E823E082BA},-71.042061175999947,42.285433651000062,465 (STREET_FEA 3020),STREET_FEA 3020,82,derived_50_100_ft,boston-sam,100893,465 Neponset Ave,Neponset Ave,42.28525866,-71.04187058,Gallivan Boulevard & Neponset Avenue,170,nearest_address
133,17KH216,Crescent Ave,10 Crescent Ave,IS,1115337600000,1711740139,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=764; METERED_FL=U; PLACEMENT=MIGRATED,17KH216,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1255478400000,{4334BA66-EE29-58F7-9512-18C867A4150C},-71.056033209999953,42.318766916000072,10 OPP (STREET_FEA 1180),STREET_FEA 1180,52,derived_50_100_ft,boston-sam,44190,10 Crescent Ave,Crescent Ave,42.31887867,-71.05615059,Buttonwood Street & Crescent Avenue,29,nearest_address
143,10IH168,Crowell St,25 Crowell St,IS,1004486400000,1009740038,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1570; METERED_FL=U; PLACEMENT=MIGRATED,10IH168,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1271808000000,{537615F0-3723-5A37-8FC5-7CC564268A4E},-71.081880530999968,42.282678527000030,23 (STREET_FEA 1201),STREET_FEA 1201,52,derived_50_100_ft,boston-sam,44609,25 Crowell St,Crowell St,42.28259866,-71.08204059,Crowell Street & Evans Street,221,nearest_address
144,12KH164,Auriga St,20 Auriga St,IS,,1211740164,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3173; METERED_FL=U; PLACEMENT=MIGRATED,12KH164,,,MU,MUCENT,1998,,,,1,,1177632000000,chalmersh,1319760000000,{D186792E-EF2A-556D-BC3E-40D30B008853},-71.055127360999961,42.289807757000062,20 (STREET_FEA 352),STREET_FEA 352,40,derived_0_50_ft,boston-sam,6598,20 Auriga St,Auriga St,42.28973866,-71.05524059,Auriga Street & Orne Street,96,nearest_address
145,12HH28,Osprey Way,60-72 Osprey Way,IS,1263945600000,1208740032,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=7844; METERED_FL=U; PLACEMENT=mulline,12HH28,,,U,U,,,,,1,,1247616000000,blundonr,1372723200000,{94263178-14B4-5488-AA0F-EA13D1062A30},-71.093718030999980,42.291600897000080,60 (STREET_FEA 7846),STREET_FEA 7846,51,derived_50_100_ft,boston-sam,343075,60-72 Osprey Way,Osprey Way,42.29146052,-71.09370250,Osprey Way & Sandpiper Lane,30,nearest_address
149,14KH20,Ditson St,46 Ditson St,IS,1086048000000,1411740136,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1344; METERED_FL=U; PLACEMENT=MIGRATED,14KH20,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1224460800000,{A38814FE-ECDD-546D-97AB-00471A40EA9E},-71.064609403999953,42.301654497000072,207 (STREET_FEA 4486),STREET_FEA 4486,43,derived_0_50_ft,boston-sam,164346,46 Ditson St,Ditson St,42.30159504,-71.06447049,Ditson Street & Westville Street,94,nearest_address
154,14IH86,Columbia Rd,80 Columbia Rd,IS,,1409740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3244; METERED_FL=U; PLACEMENT=MIGRATED,14IH86,,,US,USMET250,1984,,,,1,,1177632000000,chalmersh,1231891200000,{C119C0E8-4591-51F0-876C-BB0F80EBFA2A},-71.081754097999976,42.304788229000053,80 (STREET_FEA 1069),STREET_FEA 1069,58,derived_50_100_ft,boston-sam,35434,80 Columbia Rd,Columbia Rd,42.30491866,-71.08188059,Columbia Road & Pasadena Road,58,nearest_address
166,16JH188,Columbia Rd,487 Columbia Rd,IS,,1610740085,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=540; METERED_FL=U; PLACEMENT=MIGRATED,16JH188,,,DA,ADB-84-B,1990,,,,1,,1177632000000,denapolipd,1220918400000,{64DF6B98-551D-5DDD-9CD5-882A08790BA6},-71.067402334999940,42.314156027000081,487 (STREET_FEA 1068),STREET_FEA 1068,52,derived_50_100_ft,boston-sam,35275,487 Columbia Rd,Columbia Rd,42.31414866,-71.06721059,Bird Street & Columbia Road,163,nearest_address
