objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
827,23LH4,Melcher St,49 Melcher St,IS,1158105600000,2312740215,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3015; METERED_FL=U; PLACEMENT=MIGRATED,23LH4,,,MU,MUCENT,2004,,,,1,,1177632000000,chings,1457568000000,{E0D5E07A-8DD5-5476-9911-2351034B4686},-71.049990650999973,42.349507854000080,51 OPP (STREET_FEA 2801),STREET_FEA 2801,109,derived_100_150_ft,boston-sam,155119,49 Melcher St,Melcher St,42.34942867,-71.05038059,Melcher Street & Necco Street,136,nearest_address
849,23LH27,Congress St,346-354 Congress St,IS,1193184000000,2312740151,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=112; METERED_FL=U; PLACEMENT=MIGRATED,23LH27,,,KE,KEK81-A,2004,,,,1,,1177632000000,chings,1457568000000,{D23DDE3A-E61D-5A98-96FA-EBDD01235087},-71.048568286999966,42.350544696000043,348 (STREET_FEA 1104),STREET_FEA 1104,50,derived_0_50_ft,boston-sam,342794,346-354 Congress St,Congress St,42.35064572,-71.04844387,A Street & Congress Street,70,nearest_address
885,23LH6,Summer St,273-283 Summer St,IS,1158105600000,2312740192,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3015; METERED_FL=U; PLACEMENT=MIGRATED,23LH6,,,MU,MUCENT,2005,,,,1,,1177632000000,chings,1457568000000,{1ECEDCC8-26DF-5E21-8DF1-34A67269BD27},-71.050557265999942,42.349902564000047,29-37 OPP (STREET_FEA 2801),STREET_FEA 2801,94,derived_50_100_ft,boston-sam,460020,273-283 Summer St,Summer St,42.34989171,-71.05020909,Melcher Street & Necco Street,79,nearest_address
896,23LH127,Seaport Blvd,86 Seaport Blvd,IS,1133395200000,2312740091,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4461; METERED_FL=U; PLACEMENT=MIGRATED,23LH127,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1224460800000,{45ECA8D1-8B3B-5738-B99F-FAB0F3C46AFA},-71.045458754999970,42.351880978000054,STREET_FEA 3834,STREET_FEA 3834,58,derived_50_100_ft,boston-sam,448663,86 Seaport Blvd,Seaport Blvd,42.35202044,-71.04555949,Boston Wharf Road & Seaport Boulevard,19,nearest_address
1001,22MH90,Northern Avenue,Near Northern Avenue & Seafood Way,IS,,2213740047,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3914; METERED_FL=U; PLACEMENT=MIGRATED,22MH90,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1244505600000,{EAEAFDB8-0BEB-540F-9486-CC7FAD30CD03},-71.034421019999968,42.346369817000038,STREET_FEA 3099,STREET_FEA 3099,215,intersection_preferred_150_plus_ft,boston-sam,156978,306 Northern Ave,Northern Ave,42.34692768,-71.03415849,Northern Avenue & Seafood Way,115,nearest_intersection
1060,22LH177,Medallion Avenue,Near Medallion Avenue & Richards Street,IS,1360108800000,2212740255,,,AS BUILT,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=5519; METERED_FL=U; PLACEMENT=blundonr,22LH177,,,KE,KEK81-A,2011,,,,1,,1423008000000,blundonr,1423008000000,{39F4AEEC-752E-5774-8AB2-176DA11738FC},-71.052212565999980,42.344036322000079,STREET_FEA 3571,STREET_FEA 3571,188,intersection_preferred_150_plus_ft,boston-sam,344251,116 W First St,W First St,42.34353438,-71.05204279,Medallion Avenue & Richards Street,56,nearest_intersection
1073,22LH176,Medallion Avenue,Near Medallion Avenue & Richards Street,IS,,2212740254,,,AS BUILT,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3571; METERED_FL=U; PLACEMENT=blundonr,22LH176,,,KE,KEK81-A,2011,,,,1,,1423008000000,blundonr,1423008000000,{D4CA0BD4-0C1C-53F0-8FAE-3659AABD72CA},-71.051906478999967,42.344243284000072,STREET_FEA 5519,STREET_FEA 5519,191,intersection_preferred_150_plus_ft,boston-sam,344250,1 Iron St,Iron St,42.34474433,-71.05211591,Medallion Avenue & Richards Street,78,nearest_intersection
1091,22LH133,Channel Center St,5 Channel Center St,IS,1054512000000,2212740211,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=5518; METERED_FL=U; PLACEMENT=MIGRATED,22LH133,,,MU,U,,,,,1,,1177632000000,mulline,1396656000000,{00B09E9D-2A64-594E-AFF1-DB5F7C3105DD},-71.051972765999949,42.344932869000047,1 (STREET_FEA 2849),STREET_FEA 2849,64,derived_50_100_ft,boston-sam,28978,5 Channel Center St,Channel Center St,42.34491670,-71.05173497,Channel Center Street & Iron Street,43,nearest_address
1120,23LH701,Melcher St,11-17 Melcher St,IS,1187568000000,2312740269,,,MANUAL,,,,,BWSC,SERVICE_AR=U; CROSS_STRE=6378; METERED_FL=U; PLACEMENT=blundonr,23LH701,,,KE,KEK81-A,2007,,,,1,,1249430400000,chings,1457568000000,{60EBB073-321E-59BB-A196-4D59AD38D71F},-71.051626024999962,42.349867369000037,STREET_FEA 3014,STREET_FEA 3014,112,derived_100_150_ft,boston-sam,93870,11-17 Melcher St,Melcher St,42.34998767,-71.05124159,Melcher Street & Summer Street,307,nearest_address
1132,23LH66,Harbor Shore Drive,Near Harbor Shore Drive & Northern Avenue,IS,,2312740076,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3834; METERED_FL=U; PLACEMENT=MIGRATED,23LH66,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{D1A656BF-3982-50A3-AC58-2868E0E0785F},-71.044217732999982,42.352148933000080,70 (STREET_FEA 3099),STREET_FEA 3099,174,intersection_preferred_150_plus_ft,boston-sam,351937,1-9 Harbor Shore Dr,Harbor Shore Dr,42.35261602,-71.04408034,Harbor Shore Drive & Northern Avenue,20,nearest_intersection
