objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
252,7DH100,Alkyris Road,Near Alkyris Road & Altair Road,IS,,704740101,,,U,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3638; METERED_FL=U; PLACEMENT=blundonr,7DH100,,,U,U,,,,,1,,1239926400000,mulline,1396828800000,{0E084823-EF7F-5A7D-AF44-537ECB0FD4F1},-71.156683140999974,42.265177433000076,30 (STREET_FEA 218),STREET_FEA 218,171,intersection_preferred_150_plus_ft,boston-sam,169243,30 Rockingham Ave,Rockingham Ave,42.26484166,-71.15623974,Alkyris Road & Altair Road,145,nearest_intersection
263,12EH142,Weld St,123 Weld St,IS,675734400000,1205740023,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4425; METERED_FL=U; PLACEMENT=MIGRATED,12EH142,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{17FBF59F-FDDF-5F80-8957-3812B46AB6F0},-71.137233980999952,42.294207312000026,123 (STREET_FEA 4430),STREET_FEA 4430,65,derived_50_100_ft,boston-sam,147056,123 Weld St,Weld St,42.29437866,-71.13717061,Wedgewood Road & Weld Street,105,nearest_address
270,12DH24,Willow St,200 Willow St,IS,910051200000,1204740066,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4430; METERED_FL=U; PLACEMENT=MIGRATED,12DH24,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{8B0F4FF1-802D-57C9-8AB6-8FB45C8724A8},-71.156368560999965,42.292713795000054,200 (STREET_FEA 4550),STREET_FEA 4550,46,derived_0_50_ft,boston-sam,150265,200 Willow St,Willow St,42.29260866,-71.15646062,Weld Street & Willow Street,295,nearest_address
297,9CH143,Morrell Street,Near Morrell Street & Spring Street,IS,,903740168,,,GPS,,,,,PRIV,SERVICE_AR=U; CROSS_STRE=3417; METERED_FL=U; PLACEMENT=blundonr,9CH143,,,U,U,,,,,1,,1247616000000,blundonr,1247788800000,{6A15106D-A234-573B-812A-21BC6904B604},-71.170265238999946,42.274681598000029,1400 (STREET_FEA 4300),STREET_FEA 4300,172,intersection_preferred_150_plus_ft,boston-sam,343503,4 Moloney St,Moloney St,42.27502451,-71.16982436,Morrell Street & Spring Street,307,nearest_intersection
300,7CH112,Birch Rd,7 Birch Rd,IS,,703740090,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1153; METERED_FL=U; PLACEMENT=MIGRATED,7CH112,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{E39D6CE9-3F64-508E-8D77-F88A95E781FD},-71.158590091999940,42.263650449000068,7 (STREET_FEA 534),STREET_FEA 534,39,derived_0_50_ft,boston-sam,15552,7 Birch Rd,Birch Rd,42.26373865,-71.15867062,Birch Road & Cottage Road,86,nearest_address
332,10DH171,Gertrude Rd,9 Gertrude Rd,IS,1385942400000,1004740174,,,AS BUILT,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3215; METERED_FL=U; PLACEMENT=chalmersh,10DH171,,,KE,KEK81-A,2012,,,,1,,1426204800000,chalmersh,1426204800000,{C65F331E-B007-574A-972C-3E1752872BFD},-71.148968752999963,42.280510289000063,9 (STREET_FEA 1814),STREET_FEA 1814,49,derived_0_50_ft,boston-sam,63589,9 Gertrude Rd,Gertrude Rd,42.28052866,-71.14915062,Gertrude Road & Park Street,150,nearest_address
376,10DH124,Stratford St,64 Stratford St,IS,,1004740005,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2377; METERED_FL=U; PLACEMENT=MIGRATED,10DH124,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1236038400000,{EF79DB18-ECBC-58EB-828B-2D47779E6B50},-71.150849134999987,42.283656641000050,63 OPP (STREET_FEA 4027),STREET_FEA 4027,70,derived_50_100_ft,boston-sam,131245,64 Stratford St,Stratford St,42.28384866,-71.15084062,Kenneth Street & Stratford Street,33,nearest_address
378,10DH116,Park St,311 Park St,IS,,1004740106,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4603; METERED_FL=U; PLACEMENT=MIGRATED,10DH116,,,DA,ADB-84-B,1990,,,,1,,1177632000000,palaciolv,1236038400000,{C047CBC0-9636-5DAD-8882-D487C8B4DB9F},-71.147615764999955,42.280078453000044,316 OPP (STREET_FEA 3215),STREET_FEA 3215,44,derived_0_50_ft,boston-sam,107521,311 Park St,Park St,42.27995866,-71.14761062,Park Street & Saville Street,352,nearest_address
402,10DH34,Quinn Way,26-28 Quinn Way,IS,,1004740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=486; METERED_FL=U; PLACEMENT=MIGRATED,10DH34,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{85761400-8DF0-55BF-9609-CE35F1E7A3C2},-71.156228754999972,42.282619124000064,26-28 (STREET_FEA 2495),STREET_FEA 2495,38,derived_0_50_ft,boston-sam,114152,26-28 Quinn Way,Quinn Way,42.28270566,-71.15630762,Bellevue Street & March Avenue,215,nearest_address
412,9BH1,VFW Pkwy,1271-1375 VFW Pkwy,IS,,902740014,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=913; METERED_FL=U; PLACEMENT=MIGRATED,9BH1,,,WA,WAWB67P,1987,,,,1,,1177632000000,blundonr,1255478400000,{F25914B6-72AB-5940-9972-8D1D49F28722},-71.172686075999934,42.276345349000053,1275 (STREET_FEA 4300),STREET_FEA 4300,131,derived_100_150_ft,boston-sam,140287,1271-1375 VFW Pkwy,VFW Pkwy,42.27610865,-71.17305062,Charles Park Road & Veterans of Foreign Wars Parkway,215,nearest_address
413,12DH20,Garth Rd,44 Garth Rd,IS,,1204740172,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4550; METERED_FL=U; PLACEMENT=MIGRATED,12DH20,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{E7D23288-7D38-503C-9133-518DC7B6CF69},-71.154823828999952,42.289623818000052,44 (STREET_FEA 1787),STREET_FEA 1787,35,derived_0_50_ft,boston-sam,62932,44 Garth Rd,Garth Rd,42.28971866,-71.15484062,Garth Road & Willow Street,253,nearest_address
419,10CH128,Lagrange St,465 Lagrange St,IS,,1003740062,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=902; METERED_FL=U; PLACEMENT=MIGRATED,10CH128,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{36F29C8B-EB01-5CEE-A3FD-A52E956F2094},-71.160294961999966,42.282038189000048,465 (STREET_FEA 2426),STREET_FEA 2426,45,derived_0_50_ft,boston-sam,82777,465 Lagrange St,Lagrange St,42.28213866,-71.16020062,Chapin Avenue & Dent Street,179,nearest_address
422,11CH106,Jennett Ave,5 Jennett Ave,IS,,1103740175,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2426; METERED_FL=U; PLACEMENT=MIGRATED,11CH106,,,MU,MUCENT,1991,,,,1,,1177632000000,chalmersh,1240358400000,{A1B027EE-AE91-58C9-9377-D7C239FFB3A1},-71.161639258999969,42.284496251000064,5 OPP (STREET_FEA 2310),STREET_FEA 2310,52,derived_50_100_ft,boston-sam,79634,5 Jennett Ave,Jennett Ave,42.28443866,-71.16146062,Jennett Avenue & Lagrange Street,123,nearest_address
425,6CH22,Washington St,5341-5343 Washington St,IS,,603740055,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2830; METERED_FL=U; PLACEMENT=MIGRATED,6CH22,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{7EA33919-4B0F-588D-A4DD-9F5D9A80330C},-71.161517882999988,42.257792078000080,5341 (STREET_FEA 4401),STREET_FEA 4401,48,derived_0_50_ft,boston-sam,145725,5341-5343 Washington St,Washington St,42.25784865,-71.16168062,Meshaka Street & Washington Street,270,nearest_address
428,12DH180,Burnside Ave,11 Burnside Ave,IS,1245715200000,1204740076,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1834; METERED_FL=U; PLACEMENT=MIGRATED,12DH180,,,KE,KEK81-A,2009,,,,1,,1177632000000,chalmersh,1291680000000,{BD016907-9A47-55E2-9302-D3805A63931A},-71.145228343999975,42.292437272000029,11 (STREET_FEA 746),STREET_FEA 746,38,derived_0_50_ft,boston-sam,23899,11 Burnside Ave,Burnside Ave,42.29250866,-71.14533062,Burnside Avenue & Glenburnie Road,96,nearest_address
