objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
8499,25EH42,Antwerp St,123-125 Antwerp St,IS,1378684800000,2505740068,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=266; METERED_FL=U; PLACEMENT=MIGRATED,25EH42,,,KE,KEK81-A,2013,,,,1,,1177632000000,mulline,1392336000000,{CFF819FB-DDC3-5D16-8308-0DD6CD5AD1D9},-71.138458143999969,42.362708864000069,381 OPP (STREET_FEA 4469),STREET_FEA 4469,96,derived_50_100_ft,boston-sam,343305,123-125 Antwerp St,Antwerp St,42.36257561,-71.13814964,Antwerp Street Extension & Western Avenue,51,nearest_address
8522,25EH38,Western Ave,408 Western Ave,IS,-189388800000,2505740073,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2569; METERED_FL=U; PLACEMENT=MIGRATED,25EH38,,,KE,KEK81-A,2013,,,,1,,1177632000000,mulline,1392336000000,{90A6AAB9-8697-51F7-AA12-1C77FC2302F1},-71.139525037999988,42.362566096000080,400 (STREET_FEA 4469),STREET_FEA 4469,91,derived_50_100_ft,boston-sam,148194,408 Western Ave,Western Ave,42.36236867,-71.13973062,Litchfield Street & Western Avenue,41,nearest_address
8523,25EH8,Western Ave,495 Western Ave,IS,,2505740103,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3572; METERED_FL=U; PLACEMENT=MIGRATED,25EH8,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{AEA9A3A0-A161-5B82-8BEB-F3A8805607E0},-71.143535410999959,42.361819830000059,487 OPP (STREET_FEA 4469),STREET_FEA 4469,108,derived_100_150_ft,boston-sam,148216,495 Western Ave,Western Ave,42.36205805,-71.14377681,Richardson Street & Western Avenue,38,nearest_address
8526,23CH149,S Hobart St,78-80 S Hobart St,IS,960768000000,2303740131,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3128; METERED_FL=U; PLACEMENT=MIGRATED,23CH149,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{2DEC7061-4706-565A-8AD8-3576FAB1A1B1},-71.157987122999941,42.351125520000039,76-80 (STREET_FEA 54),STREET_FEA 54,35,derived_0_50_ft,boston-sam,74385,78-80 S Hobart St,S Hobart St,42.35111067,-71.15785762,Oakland Street & South Hobart Street,81,nearest_address
8538,21DH160,Commonwealth Ave,1680 Commonwealth Ave,IS,965952000000,2104740082,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1208; METERED_FL=U; PLACEMENT=MIGRATED,21DH160,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{0168088C-B3BF-5D85-99E9-7B71DF2F005F},-71.145391740999969,42.341583021000076,1680 (STREET_FEA 1090),STREET_FEA 1090,46,derived_0_50_ft,boston-sam,347754,1680 Commonwealth Ave,Commonwealth Ave,42.34145868,-71.14535746,Commonwealth Avenue & Cummings Road,114,nearest_address
8547,21DH68,Chestnut Hill Ave,130 Chestnut Hill Ave,IS,970704000000,2104740010,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2491; METERED_FL=U; PLACEMENT=MIGRATED,21DH68,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{D2D1C742-D840-5C65-8812-D367292E07EF},-71.153331749999950,42.343727971000078,118 (STREET_FEA 970),STREET_FEA 970,94,derived_50_100_ft,boston-sam,341369,130 Chestnut Hill Ave,Chestnut Hill Ave,42.34348344,-71.15321966,Chestnut Hill Avenue & Wiltshire Road,193,nearest_address
8549,23DH106,Mapleton St,40-42 Mapleton St,IS,969235200000,2304740111,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2976; METERED_FL=U; PLACEMENT=MIGRATED,23DH106,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{E62DBBB7-EE88-5D1B-A012-B1D48B5230AA},-71.149276464999957,42.351893040000050,40-42 (STREET_FEA 2690),STREET_FEA 2690,57,derived_50_100_ft,boston-sam,89430,40-42 Mapleton St,Mapleton St,42.35204867,-71.14924062,Elmira Street & Glencoe Street,383,nearest_address
8585,21CH97,Lake Shore Road,Near Lake Shore Road & Lake Street,IS,1293840000000,2103740108,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=2432; METERED_FL=U; PLACEMENT=mulline,21CH97,,,KE,KEK81-A,2011,,,,1,,1362009600000,mulline,1362009600000,{27E1A88B-C01D-52BD-81A6-33076E2DA503},-71.162389812999947,42.343291316000034,129 (STREET_FEA 2430),STREET_FEA 2430,252,intersection_preferred_150_plus_ft,boston-sam,343366,127-129 Lake St,Lake St,42.34396640,-71.16259428,Lake Shore Road & Lake Street,787,nearest_intersection
8598,23BH11,Tip Top St,19 Tip Top St,IS,,2302740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4210; METERED_FL=U; PLACEMENT=MIGRATED,23BH11,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{B4683E5F-5471-542D-B624-41636084808F},-71.170323320999955,42.350690044000032,19 (STREET_FEA 4182),STREET_FEA 4182,36,derived_0_50_ft,boston-sam,136067,19 Tip Top St,Tip Top St,42.35071867,-71.17045063,Tip Top Street & Tremont Street,197,nearest_address
8601,24DH1,Lincoln St,64 Lincoln St,IS,,2404740041,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3365; METERED_FL=U; PLACEMENT=MIGRATED,24DH1,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{349458E0-BDC3-5BF1-ABA9-ED6BDEE31EF6},-71.144405142999972,42.358522031000064,64 (STREET_FEA 2550),STREET_FEA 2550,22,derived_0_50_ft,boston-sam,85998,64 Lincoln St,Lincoln St,42.35854867,-71.14433062,Lincoln Street & Portsmouth Street,36,nearest_address
