objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
4516,24KH116,Cambridge Street,Near Cambridge Street & Court Street,IS,,2411740674,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4211; METERED_FL=U; PLACEMENT=MIGRATED,24KH116,,,KE,KEK81-A,1994,,,,1,,1177632000000,dorleansr,1231977600000,{12C284B4-3806-5CE9-B82F-F0434B9A0742},-71.059848253999974,42.360096032000058,STREET_FEA 789,STREET_FEA 789,152,intersection_preferred_150_plus_ft,boston-sam,172818,1-3 Center Plz,Center Plz,42.35978201,-71.06021939,Cambridge Street & Court Street,355,nearest_intersection
4600,24KH88,Somerset St,10 Somerset St,IS,,2411740161,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=446; METERED_FL=U; PLACEMENT=MIGRATED,24KH88,,,MU,MUCENT,1976,,,,1,,1177632000000,dorleansr,1231804800000,{6990BFDB-309B-51B6-BFF4-C2BE53B971CC},-71.061444002999963,42.358834593000040,8 OPP (STREET_FEA 3931),STREET_FEA 3931,105,derived_100_150_ft,boston-sam,128377,10 Somerset St,Somerset St,42.35878867,-71.06183059,Ashburton Place & Somerset Street,138,nearest_address
4601,24LH184,State St,181-183 State St,IS,898214400000,2412740025,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4079; METERED_FL=U; PLACEMENT=MIGRATED,24LH184,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1430092800000,{92D21955-7EE4-5EF3-BC3A-98AEF120C19F},-71.052769457999943,42.359531765000042,172-204 (STREET_FEA 3998),STREET_FEA 3998,128,derived_100_150_ft,boston-sam,130392,181-183 State St,State St,42.35919867,-71.05292459,John F. Fitzgerald Surface Road & State Street,93,nearest_address
4935,24KH94,Center Plz,1-3 Center Plz,IS,,2411740677,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,24KH94,,,DR,D5500S,1967,,,,1,,1177632000000,blundonr,1244505600000,{C28425EF-63CB-549F-BF60-2DD57012094C},-71.060681402999933,42.359677603000080,55 (STREET_FEA 3272),STREET_FEA 3272,130,derived_100_150_ft,boston-sam,172818,1-3 Center Plz,Center Plz,42.35978201,-71.06021939,Ashburton Place & Somerset Street,314,nearest_address
5015,25KH825,Blackstone St,99 Blackstone St,IS,1086048000000,2511740528,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3090; METERED_FL=U; PLACEMENT=chalmersh,25KH825,,,U,U,,,,,1,,1271203200000,mulline,1396828800000,{C132DD5A-2EC3-5C8B-B585-69B6225668B0},-71.055435346999957,42.361593810000045,20 (STREET_FEA 549),STREET_FEA 549,95,derived_50_100_ft,boston-sam,423958,99 Blackstone St,Blackstone St,42.36153878,-71.05578189,John F. Fitzgerald Surface Road & North Street,71,nearest_address
5269,24KH184,Merchants Row,30 Merchants Row,IS,,2411740036,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4926; METERED_FL=U; PLACEMENT=MIGRATED,24KH184,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{5BF61A74-770D-5562-9806-ED1C0C259ACF},-71.055676220999942,42.360003428000027,STREET_FEA 6436,STREET_FEA 6436,142,derived_100_150_ft,boston-sam,344770,30 Merchants Row,Merchants Row,42.35966416,-71.05593919,Chatham Street & Merchants Row,167,nearest_address
5291,25KH827,Blackstone St,136 Blackstone St,IS,1086048000000,2511740530,,,U,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3044; METERED_FL=U; PLACEMENT=chalmersh,25KH827,,,U,U,,,,,1,,1271289600000,connorsm,1391644800000,{A5B88D98-64E2-5D2A-811F-251A15C41ED3},-71.057291336999981,42.362526306000063,136 (STREET_FEA 549),STREET_FEA 549,142,derived_100_150_ft,boston-sam,15795,136 Blackstone St,Blackstone St,42.36216557,-71.05749481,John F. Fitzgerald Surface Road & Sudbury Street,108,nearest_address
5839,25KH754,Clinton Street,Near Clinton Street & John F. Fitzgerald Surface Road,IS,,2511740488,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4079; METERED_FL=U; PLACEMENT=MIGRATED,25KH754,,,U,U,,,,,1,,1177632000000,blundonr,1247788800000,{E2001B9C-809D-5806-BE8C-A247999404F4},-71.054379164999943,42.360665778000055,13 (STREET_FEA 1041),STREET_FEA 1041,189,intersection_preferred_150_plus_ft,boston-sam,163505,20 Clinton St,Clinton St,42.36097024,-71.05494739,Clinton Street & John F. Fitzgerald Surface Road,191,nearest_intersection
6079,25KH813,Clinton Street,Near Clinton Street & John F. Fitzgerald Surface Road,IS,1086048000000,2511740516,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4079; METERED_FL=U; PLACEMENT=mulline,25KH813,,,KE,KEK81-A,2003,,,,1,,1247616000000,chalmersh,1271203200000,{FD2E6301-222C-5FA6-8D44-7181EA42934E},-71.054110222999952,42.360814018000042,20 (STREET_FEA 1041),STREET_FEA 1041,232,intersection_preferred_150_plus_ft,boston-sam,163505,20 Clinton St,Clinton St,42.36097024,-71.05494739,Clinton Street & John F. Fitzgerald Surface Road,110,nearest_intersection
6792,24KH833,Center Plz,1-3 Center Plz,IS,,2411740727,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4211; METERED_FL=U; PLACEMENT=denapolipd,24KH833,,,DA,ADB-62-B,1990,,,,1,,1247702400000,blundonr,1249430400000,{82487062-68C6-53C8-B485-02E9326981F3},-71.059963945999982,42.359567256000048,2 (STREET_FEA 789),STREET_FEA 789,104,derived_100_150_ft,boston-sam,172818,1-3 Center Plz,Center Plz,42.35978201,-71.06021939,Cambridge Street & Tremont Street,197,nearest_address
