objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
757,21IH74,Gainsborough Street,Near Gainsborough Street & Saint Botolph Street,IS,945907200000,2109740217,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3744; METERED_FL=U; PLACEMENT=MIGRATED,21IH74,,,KE,KEK81-A,1991,,,,1,,1177632000000,blundonr,1255478400000,{7FD7A917-3DB8-5FD7-90EB-24ADC91E8AFF},-71.085809086999973,42.340909508000038,STREET_FEA 1769,STREET_FEA 1769,150,intersection_preferred_150_plus_ft,boston-sam,165508,30 Gainsborough St,Gainsborough St,42.34092347,-71.08636780,Gainsborough Street & Saint Botolph Street,40,nearest_intersection
791,21IH19,Huntington Ave,334 Huntington Ave,IS,,2109740296,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=1769; METERED_FL=U; PLACEMENT=MIGRATED,21IH19,,,KE,KEK11,1965,,,,1,,1177632000000,dorleansr,1264377600000,{4446EFF7-2B2E-51C8-A1EC-8F13D5383246},-71.085959012999979,42.339519914000050,STREET_FEA 3744,STREET_FEA 3744,114,derived_100_150_ft,boston-sam,341686,334 Huntington Ave,Huntington Ave,42.33979513,-71.08616110,Gainsborough Street & Saint Botolph Street,508,nearest_address
850,21IH3,Huntington Ave,409 Huntington Ave,IS,,2109740304,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1633; METERED_FL=U; PLACEMENT=MIGRATED,21IH3,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{4CEDBD4B-A023-5247-AA76-9129C025A2A9},-71.091638898999975,42.339411001000030,409 (STREET_FEA 2239),STREET_FEA 2239,47,derived_0_50_ft,boston-sam,76367,409 Huntington Ave,Huntington Ave,42.33949771,-71.09177002,Forsyth Way & Huntington Avenue,233,nearest_address
1011,21HH102,Park Dr,51 Park Dr,IS,,2108740035,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3489; METERED_FL=U; PLACEMENT=MIGRATED,21HH102,,,DA,ADB-84-B,1986,,,,1,,1177632000000,blundonr,1255478400000,{0FF32389-125E-5AC4-BD7D-7D84FBC1A527},-71.094838231999972,42.343222274000027,51 (STREET_FEA 3206),STREET_FEA 3206,52,derived_50_100_ft,boston-sam,106919,51 Park Dr,Park Dr,42.34319867,-71.09503060,Agassiz Road & Park Drive,73,nearest_address
1087,22IH60,Massachusetts Ave,153-157A Massachusetts Ave,IS,878342400000,2209740151,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=496; METERED_FL=U; PLACEMENT=MIGRATED,22IH60,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{B4A2FABC-FABA-5424-923E-7CB69DDE6117},-71.087437964999936,42.346361071000047,157 (STREET_FEA 2743),STREET_FEA 2743,56,derived_50_100_ft,boston-sam,91974,153-157A Massachusetts Ave,Massachusetts Ave,42.34645867,-71.08760060,Belvidere Street & Massachusetts Avenue,55,nearest_address
1171,21HH54,Brookline Ave,180 Brookline Ave,IS,,2108740016,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,21HH54,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1255478400000,{52EE01BC-7A90-5FB5-8B9E-0222587ACFE7},-71.101266827999950,42.343730044000040,1379 (STREET_FEA 620),STREET_FEA 620,118,derived_100_150_ft,boston-sam,419257,180 Brookline Ave,Brookline Ave,42.34394233,-71.10159640,Boylston Street & Kilmarnock Street,349,nearest_address
1172,21IH5,Huntington Ave,416 Huntington Ave,IS,,2109740351,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1700; METERED_FL=U; PLACEMENT=MIGRATED,21IH5,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{E981D3CF-8F52-5F70-B527-719EE503A443},-71.091095692999943,42.339321163000079,416 (STREET_FEA 2239),STREET_FEA 2239,75,derived_50_100_ft,boston-sam,76368,416 Huntington Ave,Huntington Ave,42.33920699,-71.09086468,Forsyth Street & Huntington Avenue,175,nearest_address
1328,21IH72,Gainsborough Street,Near Gainsborough Street & Saint Botolph Street,IS,945907200000,2109740241,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3744; METERED_FL=U; PLACEMENT=MIGRATED,21IH72,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1255478400000,{05536574-92BC-560A-96FA-854550D6808E},-71.085136530999989,42.340454201000057,10 (STREET_FEA 1769),STREET_FEA 1769,157,intersection_preferred_150_plus_ft,boston-sam,61719,10 Gainsborough St,Gainsborough St,42.34043867,-71.08572060,Gainsborough Street & Saint Botolph Street,215,nearest_intersection
1405,21IH20,Huntington Ave,360 Huntington Ave,IS,,2109740270,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3156; METERED_FL=U; PLACEMENT=MIGRATED,21IH20,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{94A595DB-AE32-5B18-A271-96B0B5455578},-71.089272568999945,42.340053227000055,360 (STREET_FEA 2239),STREET_FEA 2239,102,derived_100_150_ft,boston-sam,155692,360 Huntington Ave,Huntington Ave,42.34005657,-71.08889219,Huntington Avenue & Opera Place,170,nearest_address
1511,20HH170,Huntington Avenue,Near Huntington Avenue & Museum Road,IS,,2008740006,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2239; METERED_FL=U; PLACEMENT=MIGRATED,20HH170,,,MH,MH129,1980,,,,1,,1177632000000,mulline,1231804800000,{408A541C-8946-5B5D-AE2E-E81A4E238DBF},-71.095394146999979,42.338472206000063,STREET_FEA 2981,STREET_FEA 2981,150,intersection_preferred_150_plus_ft,boston-sam,166417,491 Huntington Ave,Huntington Ave,42.33809200,-71.09517831,Huntington Avenue & Museum Road,213,nearest_intersection
