objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
3931,25KH112,Canal St,48-54 Canal St,IS,,2511740196,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=801; METERED_FL=U; PLACEMENT=MIGRATED,25KH112,,,DA,ADB-84-B,2001,,,,1,,1177632000000,dorleansr,1231891200000,{41E84558-69C7-5262-8A62-CF633DF83864},-71.059143399999982,42.363540284000067,48 (STREET_FEA 1196),STREET_FEA 1196,49,derived_0_50_ft,boston-sam,25422,48-54 Canal St,Canal St,42.36355367,-71.05932459,Canal Street & New Chardon Street,42,nearest_address
4618,25JH54,Blossom St,60 Blossom St,IS,410227200000,2510740051,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4593; METERED_FL=U; PLACEMENT=MIGRATED,25JH54,,,KE,KEK81-A,1994,,,,1,,1177632000000,dorleansr,1231891200000,{096A8AA2-2E0D-5CFE-9BE1-5716504AA901},-71.066918285999975,42.363005459000078,51 (STREET_FEA 566),STREET_FEA 566,100,derived_50_100_ft,boston-sam,352681,60 Blossom St,Blossom St,42.36310248,-71.06726795,Blossom Street & William Cardinal O'Connell Way,152,nearest_address
4731,25KH28,Staniford Street,Near Staniford Street & William Cardinal O'Connell Way,IS,,2511740294,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4593; METERED_FL=U; PLACEMENT=MIGRATED,25KH28,,,MH,MH929,1988,,,,1,,1177632000000,dorleansr,1231891200000,{FFBCA1B1-571E-5BF0-8B0F-F1FD77A337CA},-71.063688085999956,42.362062583000068,25-125 (STREET_FEA 3988),STREET_FEA 3988,198,intersection_preferred_150_plus_ft,boston-sam,130178,20 Staniford St,Staniford St,42.36199867,-71.06442059,Staniford Street & William Cardinal O'Connell Way,75,nearest_intersection
5042,25JH38,Cambridge St,265-285 Cambridge St,IS,884908800000,2510740097,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=789; METERED_FL=U; PLACEMENT=MIGRATED,25JH38,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1239235200000,{1781D9A1-2E84-5AD6-B2C0-5E96659F0765},-71.067640391999987,42.361287388000051,239 (STREET_FEA 28),STREET_FEA 28,116,derived_100_150_ft,boston-sam,460378,265-285 Cambridge St,Cambridge St,42.36159127,-71.06776508,Blossom Street & Cambridge Street,181,nearest_address
5161,25JH48,Emerson Pl,10 Emerson Pl,IS,919641600000,2510740004,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4163; METERED_FL=U; PLACEMENT=MIGRATED,25JH48,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1230076800000,{3A6853AD-F181-5EFA-82E0-A6FB095770DC},-71.068950688999962,42.365476687000069,STREET_FEA 909,STREET_FEA 909,117,derived_100_150_ft,boston-sam,164999,10 Emerson Pl,Emerson Pl,42.36516290,-71.06886075,Charles Street & Storrow Drive,56,nearest_address
5212,25KH94,Lancaster St,30-32 Lancaster St,IS,,2511740148,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=846; METERED_FL=U; PLACEMENT=MIGRATED,25KH94,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1271808000000,{9B8CBAEC-BE85-5285-B7D2-5B79EDC434C3},-71.062945155999955,42.363945325000032,135-143 (STREET_FEA 2829),STREET_FEA 2829,89,derived_50_100_ft,boston-sam,83808,30-32 Lancaster St,Lancaster St,42.36415267,-71.06276659,Merrimac Street & Staniford Street,111,nearest_address
5391,25KH843,Canal St,84-98 Canal St,IS,1254441600000,2511740546,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=801; METERED_FL=U; PLACEMENT=BlundoNR,25KH843,,,KE,KEK81-A,2009,,,,1,,1304467200000,BlundoNR,1304467200000,{ABCD87BA-2E82-5933-81E5-2A9948D06222},-71.060082179999938,42.364169571000048,STREET_FEA 5028,STREET_FEA 5028,61,derived_50_100_ft,boston-sam,343245,84-98 Canal St,Canal St,42.36403834,-71.05994104,Canal Street & Valenti Way,84,nearest_address
5455,25JH44,Blossom St,30 Blossom St,IS,,2510740075,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=566; METERED_FL=U; PLACEMENT=MIGRATED,25JH44,,,US,USSEN,1981,,,,1,,1177632000000,dorleansr,1231891200000,{45605D98-8D2D-50F7-8456-FD563CB36B3C},-71.067379805999963,42.362216333000049,40 OPP (STREET_FEA 3230),STREET_FEA 3230,67,derived_50_100_ft,boston-sam,350522,30 Blossom St,Blossom St,42.36238937,-71.06746570,Blossom Street & Parkman Street,104,nearest_address
5489,26JH11,Nashua Street,Near Nashua Street & Storrow Drive,IS,,2610740012,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3003; METERED_FL=U; PLACEMENT=denapolipd,26JH11,,,DA,ADB-84-B,1987,,,,1,,1247702400000,blundonr,1249430400000,{9E3DBCCA-2918-5DAC-BD17-90B0A0A7324E},-71.066839893999941,42.366856003000066,STREET_FEA 2585,STREET_FEA 2585,209,intersection_preferred_150_plus_ft,boston-sam,340057,200 Nashua St,Nashua St,42.36720278,-71.06622037,Nashua Street & Storrow Drive,201,nearest_intersection
5581,25JH66,Emerson Pl,8A Emerson Pl,IS,1189641600000,2510740127,,,AS BUILT,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=566; METERED_FL=U; PLACEMENT=BlundoNR,25JH66,,,MU,MUCENT,2004,,,,1,,1343174400000,BlundoNR,1344297600000,{449A304E-5B0E-55ED-8E93-A486E2731B52},-71.068345377999947,42.364815780000072,8 (STREET_FEA 6413),STREET_FEA 6413,94,derived_50_100_ft,boston-sam,459595,8A Emerson Pl,Emerson Pl,42.36507289,-71.06833382,Blossom Street & Emerson Place,265,nearest_address
