objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
4,25LH752,Atlantic Avenue,Near Atlantic Avenue & Cross Street,IS,,2512740154,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH752,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1271808000000,{B3F2FE7E-0732-5B8C-9553-BEC0E90B48C2},-71.052111526999965,42.361500586000034,105 OPP (STREET_FEA 341),STREET_FEA 341,157,intersection_preferred_150_plus_ft,boston-sam,161701,101-117 Atlantic Ave,Atlantic Ave,42.36150236,-71.05269481,Atlantic Avenue & Cross Street,279,nearest_intersection
745,24KH221,Bromfield St,32-38 Bromfield St,IS,,2411740429,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3433; METERED_FL=U; PLACEMENT=MIGRATED,24KH221,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{78DD6AE6-D949-545F-B449-BE84D8FF247D},-71.060533981999981,42.356807374000027,40 (STREET_FEA 685),STREET_FEA 685,42,derived_0_50_ft,boston-sam,21784,32-38 Bromfield St,Bromfield St,42.35670867,-71.06045059,Bromfield Street & Wesleyan Place,29,nearest_address
787,23LH650,Congress Street,Near Congress Street & Dorchester Avenue,IS,,2312740082,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1356; METERED_FL=U; PLACEMENT=MIGRATED,23LH650,,,KE,KEK81-A,,,,,1,,1177632000000,blundonr,1430438400000,{4CA906CD-5688-5EBC-B450-0BE8091B24A6},-71.052635793999968,42.351967436000052,263 (STREET_FEA 1103),STREET_FEA 1103,359,intersection_preferred_150_plus_ft,boston-sam,156719,600 Atlantic Ave,Atlantic Ave,42.35267299,-71.05356709,Congress Street & Dorchester Avenue,177,nearest_intersection
808,24KH790,Washington St,307 Washington St,IS,725846400000,2411740331,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4392; METERED_FL=U; PLACEMENT=MIGRATED,24KH790,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1250035200000,{2E01DEF4-1CED-57B8-AB9A-3C470B74890C},-71.058662553999966,42.357466971000065,15 OPP (STREET_FEA 3818),STREET_FEA 3818,28,derived_0_50_ft,boston-sam,342633,307 Washington St,Washington St,42.35739375,-71.05862684,School Street & Washington Street,89,nearest_address
854,24LH234,Milk St,172-174 Milk St,IS,,2412740252,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=mulline,24LH234,,,MU,MUCENT,2000,,,,1,,1247616000000,blundonr,1249430400000,{2AC7258D-D9A4-5184-8A34-C51391BB5C6C},-71.052578384999947,42.358815015000062,87 (STREET_FEA 877),STREET_FEA 877,29,derived_0_50_ft,boston-sam,95437,172-174 Milk St,Milk St,42.35874590,-71.05252301,Central Street & John F. Fitzgerald Surface Road,99,nearest_address
895,23JH174,Charles Street South,Near Charles Street South & Stuart Street,IS,,2310740270,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4042; METERED_FL=U; PLACEMENT=MIGRATED,23JH174,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1244505600000,{C60597C9-5BF1-5D98-B06A-313D8AAA2176},-71.067030956999986,42.351099875000045,STREET_FEA 5318,STREET_FEA 5318,241,intersection_preferred_150_plus_ft,boston-sam,29331,1 Charles St S,Charles St S,42.35156780,-71.06766321,Charles Street South & Stuart Street,77,nearest_intersection
904,23KH20,Tremont St,274-284 Tremont St,IS,,2311740633,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3118; METERED_FL=U; PLACEMENT=MIGRATED,23KH20,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1244505600000,{3478E5FE-35FA-58C7-8BE0-17612DF4ED66},-71.064987471999984,42.350136021000026,272-252 (STREET_FEA 4211),STREET_FEA 4211,76,derived_50_100_ft,boston-sam,137470,274-284 Tremont St,Tremont St,42.34992867,-71.06497059,Stuart Street & Tremont Street,347,nearest_address
1294,22KH783,Dorchester Ave,55 Dorchester Ave,IS,1046390400000,2211740255,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=denapolipd,22KH783,,,U,U,,,,,1,,1184889600000,dorleansr,1264377600000,{8BD52528-092B-551D-B2ED-3C413A92AF93},-71.057033142999956,42.346739632000038,STREET_FEA 1356,STREET_FEA 1356,89,derived_50_100_ft,boston-sam,347550,55 Dorchester Ave,Dorchester Ave,42.34673407,-71.05670212,Frontage Road & Kneeland Street,1023,nearest_address
1420,24LH215,Rowes Whf,50 Rowes Whf,IS,903052800000,2412740233,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5241; METERED_FL=U; PLACEMENT=chalmersh,24LH215,,,MU,MUCENT,2005,,,,1,,1181088000000,blundonr,1393977600000,{1191621F-4D06-5846-A2E0-AA602EC77361},-71.050599877999957,42.356350460000044,390 (STREET_FEA 341),STREET_FEA 341,94,derived_50_100_ft,boston-sam,157086,50 Rowes Whf,Rowes Whf,42.35615934,-71.05036732,Atlantic Avenue & High Street,129,nearest_address
1421,24LH186,Central St,79 Central St,IS,,2412740048,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,24LH186,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1393977600000,{3BF1A2BA-AD2D-5551-8E92-0D7FE80BA313},-71.052873616999989,42.358780307000075,79 (STREET_FEA 877),STREET_FEA 877,30,derived_0_50_ft,boston-sam,162944,79 Central St,Central St,42.35870051,-71.05284076,Central Street & McKinley Square,91,nearest_address
1437,24LH178,Milk St,172-174 Milk St,IS,,2412740054,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2263; METERED_FL=U; PLACEMENT=MIGRATED,24LH178,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1393977600000,{149B3B60-FC15-53C8-A34A-385BD70F2D0F},-71.052454329999989,42.358560839000063,177 (STREET_FEA 2853),STREET_FEA 2853,70,derived_50_100_ft,boston-sam,95437,172-174 Milk St,Milk St,42.35874590,-71.05252301,John F. Fitzgerald Surface Road & Milk Street,86,nearest_address
