objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1674,23JH114,Saint James Ave,30 Saint James Ave,IS,,2310740312,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH114,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1224806400000,{ABE14094-DB82-5E72-8294-9A5C0DFC6AA6},-71.071785109999951,42.350572253000053,30 (STREET_FEA 3755),STREET_FEA 3755,138,derived_100_150_ft,boston-sam,121156,30 Saint James Ave,Saint James Ave,42.35033267,-71.07138959,Berkeley Street & Saint James Avenue,241,nearest_address
1693,23IH44,Beacon St,426 Beacon St,IS,1075939200000,2309740074,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2118; METERED_FL=U; PLACEMENT=MIGRATED,23IH44,,,MU,MUCENT,2002,,,,1,,1177632000000,palaciolv,1224806400000,{1F378A9F-433C-5B31-9118-7D8B030CCCD0},-71.086951412999952,42.351611527000045,426 (STREET_FEA 445),STREET_FEA 445,83,derived_50_100_ft,boston-sam,11453,426 Beacon St,Beacon St,42.35183767,-71.08690260,Beacon Street & Hereford Street,38,nearest_address
1725,23JH116,Stuart St,319 Stuart St,IS,,2310740294,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH116,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1224806400000,{EDDBC29F-48EA-5854-B518-96D3000A1E6D},-71.070987802999980,42.350788610000052,10 (STREET_FEA 3755),STREET_FEA 3755,58,derived_50_100_ft,boston-sam,131649,319 Stuart St,Stuart St,42.35074867,-71.07078059,Arlington Street & Saint James Avenue,213,nearest_address
1750,23IH47,Newbury St,240 Newbury St,IS,,2309740212,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1593; METERED_FL=U; PLACEMENT=MIGRATED,23IH47,,,MU,MUCENT,1989,,,,1,,1177632000000,blundonr,1271808000000,{C6FCE3C2-CF38-5B02-A447-309ADCE89F36},-71.082064674999970,42.349617311000031,240 (STREET_FEA 3050),STREET_FEA 3050,72,derived_50_100_ft,boston-sam,101453,240 Newbury St,Newbury St,42.34950867,-71.08184060,Fairfield Street & Newbury Street,44,nearest_address
1778,23IH56,Beacon St,352 Beacon St,IS,1075939200000,2309740042,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1593; METERED_FL=U; PLACEMENT=MIGRATED,23IH56,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1244505600000,{36D4CCBA-4D0E-57D5-8EAA-0EC8C8BDB71B},-71.084466608999946,42.352280347000033,350 (STREET_FEA 445),STREET_FEA 445,69,derived_50_100_ft,boston-sam,11207,352 Beacon St,Beacon St,42.35243867,-71.08461060,Beacon Street & Fairfield Street,258,nearest_address
1853,22JH253,Columbus Avenue,Near Columbus Avenue & Isabella Street,IS,1364515200000,2210740379,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=510; METERED_FL=U; PLACEMENT=ChalmersH,22JH253,,,KE,KEK81-A,2012,,,,1,,1383696000000,mulline,1396656000000,{9FA37B27-943E-54E9-8FA8-1B3AF5386092},-71.071662312999933,42.348862941000050,187 (STREET_FEA 1075),STREET_FEA 1075,156,intersection_preferred_150_plus_ft,boston-sam,342978,157 Berkeley St,Berkeley St,42.34927452,-71.07182321,Columbus Avenue & Isabella Street,26,nearest_intersection
1916,22IH30,Newbury St,425 Newbury St,IS,,2209740097,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4678; METERED_FL=U; PLACEMENT=MIGRATED,22IH30,,,MU,MUCENT,2005,,,,1,,1177632000000,chalmersh,1250208000000,{1C6A0EEA-F702-518D-AB34-CC20CAEA8552},-71.090417432999971,42.348110012000063,415 (STREET_FEA 3050),STREET_FEA 3050,68,derived_50_100_ft,boston-sam,101640,425 Newbury St,Newbury St,42.34827267,-71.09053960,Charlesgate East & Newbury Street,309,nearest_address
1981,23JH108,Columbus Ave,129-133 Columbus Ave,IS,,2310740358,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH108,,,KE,KEK81,2009,,,,1,,1177632000000,palaciolv,1224806400000,{E8588CB3-ACF5-57B1-B628-7745122F373C},-71.070785287999968,42.349982389000047,306 OPP (STREET_FEA 4042),STREET_FEA 4042,70,derived_50_100_ft,boston-sam,163644,129-133 Columbus Ave,Columbus Ave,42.34983161,-71.07062311,Arlington Street & Columbus Avenue,239,nearest_address
2256,23JH86,Boylston St,406-412 Boylston St,IS,94694400000,2310740248,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH86,,,KE,KEK81-A,2005,,,,1,,1177632000000,palaciolv,1224806400000,{7B696735-E644-5B77-8E79-5B5147E90A66},-71.072320892999983,42.351359693000063,406 (STREET_FEA 618),STREET_FEA 618,40,derived_0_50_ft,boston-sam,18323,406-412 Boylston St,Boylston St,42.35125467,-71.07227759,Berkeley Street & Boylston Street,203,nearest_address
2258,22IH98,Commonwealth Ave,330 Commonwealth Ave,IS,,2209740006,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2118; METERED_FL=U; PLACEMENT=MIGRATED,22IH98,,,KE,KEK81,2009,,,,1,,1177632000000,blundonr,1255478400000,{03C22DBD-E3DE-591D-BB0A-5E22D34D0548},-71.086897990999944,42.349399914000060,330 OPP (STREET_FEA 1091),STREET_FEA 1091,95,derived_50_100_ft,boston-sam,40227,330 Commonwealth Ave,Commonwealth Ave,42.34914867,-71.08680060,Commonwealth Avenue & Hereford Street,237,nearest_address
2325,22IH146,Garrison St,13 Garrison St,IS,,2209740152,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=6373; METERED_FL=U; PLACEMENT=MIGRATED,22IH146,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{20720203-2D28-5507-BEFC-48D6C1F5EA26},-71.080034385999966,42.346275131000027,STREET_FEA 1786,STREET_FEA 1786,97,derived_50_100_ft,boston-sam,62823,13 Garrison St,Garrison St,42.34600867,-71.08002060,Garrison Street & Huntington Avenue,86,nearest_address
2489,21IH170,Saint Botolph St,196 Saint Botolph St,IS,1038182400000,2109740098,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=161; METERED_FL=U; PLACEMENT=MIGRATED,21IH170,,,MU,MUCENT,2002,,,,1,,1177632000000,chalmersh,1225238400000,{3D8992D2-D501-5281-88BB-FD37EE64E86A},-71.083476796999946,42.342601344000059,196 (STREET_FEA 3744),STREET_FEA 3744,47,derived_0_50_ft,boston-sam,120768,196 Saint Botolph St,Saint Botolph St,42.34248567,-71.08339560,Albemarle Street & Saint Botolph Street,28,nearest_address
2490,21IH194,Cumberland St,29 Cumberland St,IS,971481600000,2109740046,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3743; METERED_FL=U; PLACEMENT=MIGRATED,21IH194,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{ED89CA61-7E0B-5EAB-B409-867A812B6DAA},-71.081535058999975,42.343217192000054,29 (STREET_FEA 1207),STREET_FEA 1207,27,derived_0_50_ft,boston-sam,44682,29 Cumberland St,Cumberland St,42.34316867,-71.08161060,Cumberland Street & Saint Botolph Street,265,nearest_address
2721,23JH708,Clarendon St,220-224 Clarendon St,IS,,2310740260,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3050; METERED_FL=U; PLACEMENT=MIGRATED,23JH708,,,MU,MUCENT,1987,,,,1,,1177632000000,chalmersh,1250208000000,{61650E84-A94E-5678-A942-2570A9D1A548},-71.075410669999940,42.351302725000039,225 (STREET_FEA 1008),STREET_FEA 1008,72,derived_50_100_ft,boston-sam,33211,220-224 Clarendon St,Clarendon St,42.35119164,-71.07563106,Clarendon Street & Newbury Street,82,nearest_address
2817,23JH10,Commonwealth Ave,172 Commonwealth Ave,IS,,2310740245,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1265; METERED_FL=U; PLACEMENT=MIGRATED,23JH10,,,SM,SMH205,1980,,,,1,,1177632000000,blundonr,1255478400000,{84D6172B-5538-515B-8844-C20688CE6958},-71.079217922999987,42.351466429000027,172 OPP (STREET_FEA 1091),STREET_FEA 1091,104,derived_100_150_ft,boston-sam,38510,172 Commonwealth Ave,Commonwealth Ave,42.35118867,-71.07912060,Commonwealth Avenue & Dartmouth Street,303,nearest_address
2978,21IH200,Durham St,16 Durham St,IS,,2109740005,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3743; METERED_FL=U; PLACEMENT=MIGRATED,21IH200,,,US,USSEN,1980,,,,1,,1177632000000,chalmersh,1225238400000,{1CCD2DD5-6C83-5175-B348-A7F44699BB71},-71.080781629999933,42.343840134000061,16 (STREET_FEA 1412),STREET_FEA 1412,39,derived_0_50_ft,boston-sam,50155,16 Durham St,Durham St,42.34391867,-71.08068060,Durham Street & Saint Botolph Street,261,nearest_address
