objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
735,8GH133,Farrar Ave,115 Farrar Ave,IS,1030320000000,807740127,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4099; METERED_FL=U; PLACEMENT=MIGRATED,8GH133,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{E47C3B72-311F-5E66-BAE3-ACBB438088AD},-71.115090022999937,42.268120852000038,115 (STREET_FEA 1616),STREET_FEA 1616,40,derived_0_50_ft,boston-sam,56580,115 Farrar Ave,Farrar Ave,42.26804865,-71.11520060,Farrar Avenue & Ruskin Road,108,nearest_address
736,3GH10,Bow St,27-41 Bow St,IS,,307740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1250; METERED_FL=U; PLACEMENT=MIGRATED,3GH10,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{DAC7E46F-6CE6-598A-A961-D196CAE98966},-71.117570174999969,42.244564021000031,41 (STREET_FEA 602),STREET_FEA 602,85,derived_50_100_ft,boston-sam,342698,27-41 Bow St,Bow St,42.24433873,-71.11749153,Bow Street & Dana Avenue,166,nearest_address
752,1FH4,Meadowview Rd,25 Meadowview Rd,IS,,106740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2859; METERED_FL=U; PLACEMENT=MIGRATED,1FH4,,,KE,KEK81-A,1994,,,,1,,1177632000000,connorsm,1240531200000,{9A50E4FA-7E00-59E1-BAA7-1A933B128222},-71.129330654999933,42.233373459000063,29 (STREET_FEA 2790),STREET_FEA 2790,45,derived_0_50_ft,boston-sam,93646,25 Meadowview Rd,Meadowview Rd,42.23342865,-71.12948061,Meadowview Road & Millstone Road,233,nearest_address
755,5EH86,Dedham St,12 Dedham St,IS,,505740103,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3556; METERED_FL=U; PLACEMENT=MIGRATED,5EH86,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{86F78202-6A2B-5D92-B0A9-1303EFD16A48},-71.133554050999976,42.253528777000042,10 (STREET_FEA 1295),STREET_FEA 1295,56,derived_50_100_ft,boston-sam,46877,12 Dedham St,Dedham St,42.25338865,-71.13347061,Dedham Street & Reservation Road,238,nearest_address
758,1FH12,Colchester St,39 Colchester St,IS,,106740005,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2859; METERED_FL=U; PLACEMENT=MIGRATED,1FH12,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1271808000000,{3A04416D-86E6-5419-BF43-FD54BA39621C},-71.130134149999947,42.234004157000072,39 (STREET_FEA 1056),STREET_FEA 1056,44,derived_0_50_ft,boston-sam,34603,39 Colchester St,Colchester St,42.23408865,-71.13025061,Colchester Street & Stanbro Street,259,nearest_address
771,6GH38,River St,1016 River St,IS,,607740031,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3603; METERED_FL=U; PLACEMENT=MIGRATED,6GH38,,,KE,KEK81-A,1994,,,,1,,1177632000000,connorsm,1237852800000,{5CAB2157-11F9-58D8-90A2-CD24CBEE6715},-71.115503474999969,42.260027103000027,752 OPP (STREET_FEA 2833),STREET_FEA 2833,83,derived_50_100_ft,boston-sam,116270,1016 River St,River St,42.26018865,-71.11572060,Metropolitan Avenue & River Street,152,nearest_address
784,5EH76,Roxana St,23-25 Roxana St,IS,1163462400000,505740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4071; METERED_FL=U; PLACEMENT=MIGRATED,5EH76,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1235779200000,{02355F3D-A499-5057-A9A8-ED6053D5C279},-71.132034033999958,42.251768638000044,23-25 (STREET_FEA 3697),STREET_FEA 3697,40,derived_0_50_ft,boston-sam,119137,23-25 Roxana St,Roxana St,42.25187865,-71.13202061,Roxana Street & Sunnyside Street,109,nearest_address
794,4GH72,Warren Ave,96 Warren Ave,IS,,407740007,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3103; METERED_FL=U; PLACEMENT=MIGRATED,4GH72,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1244505600000,{0B38AB53-1FED-5D95-908A-A4D92046888A},-71.114554389999967,42.250352620000058,96 (STREET_FEA 4378),STREET_FEA 4378,50,derived_0_50_ft,boston-sam,142868,96 Warren Ave,Warren Ave,42.25037865,-71.11437060,Norway Park & Warren Avenue,206,nearest_address
812,7HH44,Oakcrest Rd,55 Oakcrest Rd,IS,,708740066,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4111; METERED_FL=U; PLACEMENT=MIGRATED,7HH44,,,MU,MUCENT,2003,,,,1,,1177632000000,chalmersh,1236902400000,{FDA87155-16A6-5A09-867A-61E9C5B81D02},-71.103613789999940,42.265124846000049,55 (STREET_FEA 3125),STREET_FEA 3125,41,derived_0_50_ft,boston-sam,104682,55 Oakcrest Rd,Oakcrest Rd,42.26512865,-71.10346060,Oakcrest Road & Ralston Road,159,nearest_address
816,8FH112,Hyde Park Ave,858 Hyde Park Ave,IS,906681600000,806740037,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1064; METERED_FL=U; PLACEMENT=MIGRATED,8FH112,,,KE,KEK81-A,1995,,,,1,,1177632000000,BlundoNR,1291680000000,{24E10C50-8982-5962-AD71-0DCF96AEDE55},-71.120196426999939,42.271127220000039,858 (STREET_FEA 2249),STREET_FEA 2249,50,derived_0_50_ft,boston-sam,77668,858 Hyde Park Ave,Hyde Park Ave,42.27101865,-71.12008061,Clare Avenue & Collins Street,305,nearest_address
