objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
342,21NH75,East First Street,Near East First Street & Farragut Road,IS,1251763200000,2114740056,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=chalmersh,21NH75,,,U,U,,,,,1,,1300060800000,chalmersh,1300060800000,{20CF9D60-3FD3-5DBC-ADEE-A236FF994478},-71.023616486999970,42.338756412000066,STREET_FEA 0,STREET_FEA 0,180,intersection_preferred_150_plus_ft,boston-sam,56515,20 Farragut Rd,Farragut Rd,42.33917365,-71.02397605,East First Street & Farragut Road,437,nearest_intersection
347,21NH1,Shore Road,Near Shore Road & William J. Day Boulevard,IS,1251763200000,2114740045,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,21NH1,,,U,U,,,,,1,,1177632000000,chalmersh,1300060800000,{FBDF03D3-E890-5FA7-8C1B-833C9A712BC1},-71.021102305999989,42.338381177000031,STREET_FEA 4535,STREET_FEA 4535,825,intersection_preferred_150_plus_ft,boston-sam,56515,20 Farragut Rd,Farragut Rd,42.33917365,-71.02397605,Shore Road & William J. Day Boulevard,289,nearest_intersection
360,20KH64,E St,156 E St,IS,,2011740106,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1584; METERED_FL=U; PLACEMENT=MIGRATED,20KH64,,,DA,ADB-84-B,1990,,,,1,,1177632000000,louisjamey,1441843200000,{5E4EB47D-EF52-5247-87D8-BCE20F7C13FF},-71.054278993999958,42.333799891000069,158 (STREET_FEA 3144),STREET_FEA 3144,34,derived_0_50_ft,boston-sam,159113,156 E St,E St,42.33389238,-71.05430342,E Street & Old Colony Avenue,39,nearest_address
381,20NH32,Farragut Rd,125 Farragut Rd,IS,,2014740047,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=14; METERED_FL=U; PLACEMENT=MIGRATED,20NH32,,,MU,MUCENT,1968,,,,1,,1177632000000,palaciolv,1221004800000,{25FD14F5-6939-5B4B-BCA1-C3BC5198CBE9},-71.025153256999943,42.334047158000033,125 (STREET_FEA 1614),STREET_FEA 1614,52,derived_50_100_ft,boston-sam,419654,125 Farragut Rd,Farragut Rd,42.33397418,-71.02531955,East Fifth Street & Farragut Road,46,nearest_address
389,20LH200,E Broadway,539-553 E Broadway,IS,,2012740151,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1960; METERED_FL=U; PLACEMENT=MIGRATED,20LH200,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1220918400000,{6C4EF84C-90E9-58DC-91CF-12A05E441667},-71.042480145999946,42.335421221000047,535 (STREET_FEA 4976),STREET_FEA 4976,78,derived_50_100_ft,boston-sam,20979,539-553 E Broadway,E Broadway,42.33529042,-71.04225084,East Broadway & H Street,252,nearest_address
396,20MH102,E Third St,608 E Third St,IS,,2013740082,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=27; METERED_FL=U; PLACEMENT=MIGRATED,20MH102,,,MU,MUCENT,2002,,,,1,,1177632000000,palaciolv,1221004800000,{C23591DB-4502-5F43-A1A4-3474724E1C7D},-71.035567545999982,42.336601878000067,49 (STREET_FEA 2422),STREET_FEA 2422,44,derived_0_50_ft,boston-sam,135045,608 E Third St,E Third St,42.33660867,-71.03573058,East Third Street & L Street,48,nearest_address
421,19LH62,Columbia Rd,1306 Columbia Rd,IS,,1912740089,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3146; METERED_FL=U; PLACEMENT=MIGRATED,19LH62,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{F1F02C0D-64B0-5522-A6C0-11C1810136FF},-71.047067969999944,42.330488442000046,1306 (STREET_FEA 1070),STREET_FEA 1070,48,derived_0_50_ft,boston-sam,35019,1306 Columbia Rd,Columbia Rd,42.33061867,-71.04710059,Columbia Road & Old Harbor Street,91,nearest_address
434,19LH52,Babe Ruth Park Drive,Near Babe Ruth Park Drive & Columbia Road,IS,,1912740093,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3146; METERED_FL=U; PLACEMENT=MIGRATED,19LH52,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{5D158220-5E14-5253-A9FC-0F79F09FC634},-71.048037878999935,42.330457975000058,1280 (STREET_FEA 1070),STREET_FEA 1070,233,intersection_preferred_150_plus_ft,boston-sam,174018,331 E Eighth St,E Eighth St,42.33107730,-71.04781773,Babe Ruth Park Drive & Columbia Road,118,nearest_intersection
471,21NH73,Shore Road,Near Shore Road & William J. Day Boulevard,IS,1251763200000,2114740054,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=chalmersh,21NH73,,,U,U,,,,,1,,1300060800000,chalmersh,1300060800000,{E244BE57-442E-5329-B410-50E309D43CD3},-71.021747387999937,42.339119865000043,STREET_FEA 0,STREET_FEA 0,600,intersection_preferred_150_plus_ft,boston-sam,56515,20 Farragut Rd,Farragut Rd,42.33917365,-71.02397605,Shore Road & William J. Day Boulevard,458,nearest_intersection
473,19LH72,Columbia Rd,1326 Columbia Rd,IS,,1912740086,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1167; METERED_FL=U; PLACEMENT=MIGRATED,19LH72,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{05A0A69E-B387-53E4-B691-1767C28AEF75},-71.046056131999933,42.330516219000060,1350 (STREET_FEA 1070),STREET_FEA 1070,88,derived_50_100_ft,boston-sam,35046,1326 Columbia Rd,Columbia Rd,42.33064867,-71.04633058,Columbia Road & Covington Street,38,nearest_address
