objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
427,17HH24,Mozart St,44 Mozart St,IS,725846400000,1708740009,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=309; METERED_FL=U; PLACEMENT=MIGRATED,17HH24,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{171EAD4B-8852-54CF-8393-02DB62D35B99},-71.104622719999952,42.321152900000072,44A (STREET_FEA 2969),STREET_FEA 2969,27,derived_0_50_ft,boston-sam,167862,44 Mozart St,Mozart St,42.32113789,-71.10452581,Armstrong Street & Mozart Street,30,nearest_address
429,17HH70,W Walnut Park,98-100 W Walnut Park,IS,801964800000,1708740092,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=109; METERED_FL=U; PLACEMENT=MIGRATED,17HH70,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1230076800000,{A37DE472-24E6-5773-BE2B-ACE6C916FAA0},-71.101087646999986,42.318550637000044,153 OPP (STREET_FEA 240),STREET_FEA 240,58,derived_50_100_ft,boston-sam,171725,98-100 W Walnut Park,W Walnut Park,42.31863158,-71.10090051,Amory Street & Holtzer Street,99,nearest_address
437,18HH14,Schiller St,12 Schiller St,IS,1189987200000,1808740066,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2094; METERED_FL=U; PLACEMENT=MIGRATED,18HH14,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1243900800000,{634A6325-19ED-5FCC-BA66-27748D7E64A8},-71.105246317999956,42.325687627000036,12 (STREET_FEA 3815),STREET_FEA 3815,27,derived_0_50_ft,boston-sam,123751,12 Schiller St,Schiller St,42.32564867,-71.10516060,Minden Street & Schiller Street,192,nearest_address
446,12GH6,Hyde Park Ave,323 Hyde Park Ave,IS,879897600000,1207740079,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=811; METERED_FL=U; PLACEMENT=MIGRATED,12GH6,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{766547A1-453C-57AB-A124-DAE13FB23E9C},-71.118241866999938,42.290459704000057,323 (STREET_FEA 2250),STREET_FEA 2250,35,derived_0_50_ft,boston-sam,77301,323 Hyde Park Ave,Hyde Park Ave,42.29041866,-71.11836061,Carlford Road & Hyde Park Avenue,80,nearest_address
455,17GH10,Jamaicaway,Near Jamaicaway & Jamaicaway Court,IS,,1707740126,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2297; METERED_FL=U; PLACEMENT=MIGRATED,17GH10,,,KE,KEK81-A,2005,,,,1,,1177632000000,palaciolv,1231459200000,{B69F0EBA-1EEF-50AD-85BB-1412752214B6},-71.116579938999962,42.317801021000037,434 (STREET_FEA 2298),STREET_FEA 2298,205,intersection_preferred_150_plus_ft,boston-sam,79351,2 Jamaicaway Ct,Jamaicaway Ct,42.31724866,-71.11643061,Jamaicaway & Jamaicaway Court,257,nearest_intersection
456,15GH146,Carolina Ave,142 Carolina Ave,IS,,1507740128,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=778; METERED_FL=U; PLACEMENT=MIGRATED,15GH146,,,US,USSEN,1982,,,,1,,1177632000000,chalmersh,1233532800000,{04919075-65CD-526B-A65E-7247C3FC3234},-71.109873385999947,42.307856856000058,142 (STREET_FEA 821),STREET_FEA 821,37,derived_0_50_ft,boston-sam,25992,142 Carolina Ave,Carolina Ave,42.30793866,-71.10995260,Call Street & Carolina Avenue,38,nearest_address
459,11GH123,Hyde Park Ave,375 Hyde Park Ave,IS,878515200000,1107740128,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2455; METERED_FL=U; PLACEMENT=MIGRATED,11GH123,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{0B89CD6A-97AE-5DA1-9474-446F2F06D1C7},-71.118623346999982,42.287832423000054,375 (STREET_FEA 2250),STREET_FEA 2250,37,derived_0_50_ft,boston-sam,77317,375 Hyde Park Ave,Hyde Park Ave,42.28776866,-71.11873061,Hyde Park Avenue & Larch Place,28,nearest_address
479,19GH114,S Huntington Ave,140 S Huntington Ave,IS,,1907740124,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2094; METERED_FL=U; PLACEMENT=connorsm,19GH114,,,KE,KEK81-A,1975,,,,1,,1403481600000,connorsm,1403481600000,{33B2631A-A50B-5DC9-A4FE-D793CD438F9F},-71.110682857999961,42.328013742000053,135 (STREET_FEA 55),STREET_FEA 55,128,derived_100_150_ft,boston-sam,354129,140 S Huntington Ave,S Huntington Ave,42.32823461,-71.11031444,Heath Street & South Huntington Avenue,241,nearest_address
486,13FH14,Flora Way,Near Flora Way & Walter Street,IS,,1306740010,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=186; METERED_FL=U; PLACEMENT=MIGRATED,13FH14,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1244505600000,{77DF4DBA-B864-5A66-AAA4-78631D5BB387},-71.129832145999956,42.298434829000030,1195 (STREET_FEA 886),STREET_FEA 886,184,intersection_preferred_150_plus_ft,boston-sam,157484,1195 Centre St,Centre St,42.29893905,-71.12980736,Flora Way & Walter Street,705,nearest_intersection
496,16HH140,School St,6-12 School St,IS,,1608740156,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4357; METERED_FL=U; PLACEMENT=MIGRATED,16HH140,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{25DA654F-D1C2-56AE-B5AA-2EAA8686EECA},-71.096680276999962,42.312839118000056,12 OPP (STREET_FEA 3820),STREET_FEA 3820,75,derived_50_100_ft,boston-sam,123900,6-12 School St,School St,42.31266066,-71.09681960,School Street & Walnut Avenue,169,nearest_address
