objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1242,19HH172,Tremont St,1423-1425 Tremont St,IS,,1908740189,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4138; METERED_FL=U; PLACEMENT=MIGRATED,19HH172,,,MU,MUCENT,2005,,,,1,,1177632000000,mulline,1231459200000,{F6C6FBDA-8420-5E91-9D81-BA861D1F3169},-71.096248657999979,42.331733610000072,1427-1429 (STREET_FEA 4216),STREET_FEA 4216,40,derived_0_50_ft,boston-sam,424351,1423-1425 Tremont St,Tremont St,42.33184429,-71.09623777,Gurney Street & Terrace Street,42,nearest_address
1312,19GH44,Parker Hill Ave,85 Parker Hill Ave,IS,,1907740081,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3226; METERED_FL=U; PLACEMENT=MIGRATED,19GH44,,,US,USMET250,1986,,,,1,,1177632000000,mulline,1231372800000,{D5CF40FA-B289-587E-A5B9-F33E382955E7},-71.108821973999966,42.330159653000067,STREET_FEA 1667,STREET_FEA 1667,115,derived_100_150_ft,boston-sam,460595,85 Parker Hill Ave,Parker Hill Ave,42.33046085,-71.10895601,Fisher Avenue & Parker Hill Avenue,185,nearest_address
1318,20HH144,Huntington Avenue,Near Huntington Avenue & Vancouver Street,IS,,2008740054,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3709; METERED_FL=U; PLACEMENT=MIGRATED,20HH144,,,MU,MUCENT,2002,,,,1,,1177632000000,mulline,1231804800000,{C6D6FAFF-EF68-516B-B421-DC1FAD1C246B},-71.095632861999945,42.337505609000061,STREET_FEA 2239,STREET_FEA 2239,167,intersection_preferred_150_plus_ft,boston-sam,76387,560 Huntington Ave,Huntington Ave,42.33718667,-71.09607960,Huntington Avenue & Vancouver Street,437,nearest_intersection
1336,19GH70,Wait St,60 Wait St,IS,1151020800000,1907740051,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2279; METERED_FL=U; PLACEMENT=MIGRATED,19GH70,,,MU,MUCENT,2005,,,,1,,1177632000000,mulline,1231372800000,{03C276B6-F994-5168-AFD2-32A9DFE48199},-71.106759825999973,42.330948812000031,STREET_FEA 3734,STREET_FEA 3734,66,derived_50_100_ft,boston-sam,141341,60 Wait St,Wait St,42.33109867,-71.10662060,Iroquois Street & Sachem Street,152,nearest_address
1372,19GH62,Hillside St,190 Hillside St,IS,,1907740030,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4075; METERED_FL=U; PLACEMENT=MIGRATED,19GH62,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1231372800000,{AC2CDC11-ACBD-5CC2-92C3-E2DD26CF5F5C},-71.108491897999954,42.331835881000075,190 (STREET_FEA 2162),STREET_FEA 2162,34,derived_0_50_ft,boston-sam,74215,190 Hillside St,Hillside St,42.33175867,-71.10856061,Hillside Street & Sunset Street,38,nearest_address
1408,19GH18,S Huntington Ave,33-39 S Huntington Ave,IS,,1907740050,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2241; METERED_FL=U; PLACEMENT=MIGRATED,19GH18,,,MU,MUCENT,1991,,,,1,,1177632000000,mulline,1231372800000,{C4DE4E0B-5B20-5292-81E0-90A6B4FEA202},-71.111832621999952,42.331144566000035,35 (STREET_FEA 55),STREET_FEA 55,42,derived_0_50_ft,boston-sam,419812,33-39 S Huntington Ave,S Huntington Ave,42.33112218,-71.11198735,Colburn Street & South Huntington Avenue,144,nearest_address
1547,19HH76,Calumet St,126 Calumet St,IS,,1908740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=783; METERED_FL=U; PLACEMENT=MIGRATED,19HH76,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1231372800000,{DBBBBFA8-E932-5644-ADC6-94CAB24A04AC},-71.102726756999971,42.330989978000048,126 (STREET_FEA 3741),STREET_FEA 3741,35,derived_0_50_ft,boston-sam,24915,126 Calumet St,Calumet St,42.33096867,-71.10260060,Calumet Street & Saint Alphonsus Street,51,nearest_address
1659,18HH28,Lawn St,11 Lawn St,IS,,1808740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2094; METERED_FL=U; PLACEMENT=MIGRATED,18HH28,,,MU,MUCENT,1993,,,,1,,1177632000000,palaciolv,1231718400000,{D17064B5-9F22-51FE-B170-86DFC347B281},-71.104080259999932,42.326638687000070,9-11 (STREET_FEA 2472),STREET_FEA 2472,36,derived_0_50_ft,boston-sam,84391,11 Lawn St,Lawn St,42.32671494,-71.10399500,Bucknam Street & Lawn Street,53,nearest_address
1768,20IH14,Annunciation Rd,30-38 Annunciation Rd,IS,,2009740146,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=163; METERED_FL=U; PLACEMENT=MIGRATED,20IH14,,,MU,MUCENT,1971,,,,1,,1177632000000,mulline,1231891200000,{E07B2A2C-E986-50FB-BF20-20CD8B0DF092},-71.091583450999963,42.335378720000051,250 BACK (STREET_FEA 3709),STREET_FEA 3709,115,derived_100_150_ft,boston-sam,161570,30-38 Annunciation Rd,Annunciation Rd,42.33546898,-71.09199286,Albert Street & Prentiss Street,782,nearest_address
1819,20HH92,Smith St,45-51 Smith St,IS,1444262400000,2008740242,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5336; METERED_FL=U; PLACEMENT=MIGRATED,20HH92,,,KE,KEK81-A,2012,,,,1,,1177632000000,chalmersh,1450828800000,{B89CF863-7AA6-543C-92B2-8674853DB96C},-71.099197492999963,42.333774156000061,80 (STREET_FEA 5340),STREET_FEA 5340,130,derived_100_150_ft,boston-sam,422181,45-51 Smith St,Smith St,42.33413012,-71.09924719,Cornelia Court & Smith Street,19,nearest_address
