objectid,facilityid,streetname,address,lifecyclestatus,source_lifecyclestatus_assumption,owner,comments,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,globalid,lon,lat,source,source_exported_at,source_record_number,source_x,source_y,source_projection,facilityid_basis,water_nd,record_id,node_type,person,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
340,STH-HYD-B62F759673,Pine Street,17 Pine Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0340-B62F759673,-71.09747396,42.48048384,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,340,764751.187500,3000377.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1638,4820,HYD,YVETTE,,,39,derived_0_50_ft,massgis-stoneham,2610142,17 Pine Street,Pine Street,42.48041461,-71.09758291,,,nearest_address
341,STH-HYD-A611827B3C,Stevens Street,12 Stevens Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0341-A611827B3C,-71.08984997,42.48044255,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,341,766807.875000,3000372.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1642,5578,HYD,FEITIAN,,,43,derived_0_50_ft,massgis-stoneham,2610705,12 Stevens Street,Stevens Street,42.48055831,-71.08982878,,,nearest_address
342,STH-HYD-72377A17DB,Lotus Avenue,39 Lotus Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0342-72377A17DB,-71.07632208,42.48039361,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,342,770457.187500,3000372.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1643,5150,HYD,FEITIAN,,,65,derived_50_100_ft,massgis-stoneham,2619763,39 Lotus Avenue,Lotus Avenue,42.48056468,-71.07625329,,,nearest_address
343,STH-HYD-7A9FD40D4F,Pleasant Street,56 Pleasant Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0343-7A9FD40D4F,-71.09371940,42.48044940,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,343,765764.062500,3000369.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1644,4899,HYD,YVETTE,,,59,derived_50_100_ft,massgis-stoneham,2609661,56 Pleasant Street,Pleasant Street,42.48060792,-71.09376371,,,nearest_address
344,STH-HYD-8584174FCB,Montvale Avenue,103 Montvale Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0344-8584174FCB,-71.11357785,42.48048684,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,344,760407.062500,3000358.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1649,3903,HYD,YVETTE,,,95,derived_50_100_ft,massgis-stoneham,4193187,103 Montvale Avenue,Montvale Avenue,42.48065550,-71.11330693,,,nearest_address
345,STH-HYD-DA0C7AB144,Cedar Avenue,11 Cedar Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0345-DA0C7AB144,-71.10491646,42.48042728,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,345,762743.625000,3000347.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1656,4370,HYD,YVETTE,,,53,derived_50_100_ft,massgis-stoneham,2609136,11 Cedar Avenue,Cedar Avenue,42.48056675,-71.10485823,,,nearest_address
346,STH-HYD-8B07EC64BA,Gould Street,46 Gould Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0346-8B07EC64BA,-71.09147184,42.48036599,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,346,766370.500000,3000342.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1657,6181,HYD,,,,26,derived_0_50_ft,massgis-stoneham,2613194,46 Gould Street,Gould Street,42.48042810,-71.09151745,,,nearest_address
347,STH-HYD-6475FB6E1D,Main Street,340 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0347-6475FB6E1D,-71.10009357,42.48035645,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,347,764044.750000,3000327.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1660,4576,HYD,YVETTE,,,120,derived_100_150_ft,massgis-stoneham,2612179,340 Main Street,Main Street,42.48034688,-71.09964495,,,nearest_address
348,STH-HYD-153A64D062,Main Street,340 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0348-153A64D062,-71.09923363,42.48030544,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,348,764276.812500,3000310.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1668,4802,HYD,YVETTE,,,111,derived_100_150_ft,massgis-stoneham,2612179,340 Main Street,Main Street,42.48034688,-71.09964495,,,nearest_address
349,STH-HYD-05C91A6A3F,Patriot Road,6 Patriot Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0349-05C91A6A3F,-71.08880259,42.48014315,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,349,767090.937500,3000264.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1690,5581,HYD,FEITIAN,,,44,derived_0_50_ft,massgis-stoneham,2610684,6 Patriot Road,Patriot Road,42.48024038,-71.08870406,,,nearest_address
