facilityid,streetname,address,lifecyclestatus,address_distance_ft,lon,lat,source,source_pulled_at,source_address,source_streetname,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
HYD-00644.0,Beacham Street,Near Beacham Street & Williams Street,In Service,175,-71.04523858811791,42.39306438785368,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,219 Williams Street,Williams Street,intersection_preferred_150_plus_ft,massgis-chelsea,3685714,219 Williams Street,Williams Street,42.39346113,-71.04487351,Beacham Street & Williams Street,282,nearest_intersection
HYD-00012.1,Williams Street,202 Williams Street,In Service,124,-71.04468849200362,42.39250533615059,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,202 Williams Street,Williams Street,derived_100_150_ft,massgis-chelsea,3686507,202 Williams Street,Williams Street,42.39219203,-71.04450908,Commandants Way & Spruce Street,64,nearest_address
HYD-00121.1,Williams Street,191 Williams Street,In Service,87,-71.04391589148315,42.392020345102374,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,191 Williams Street,Williams Street,derived_50_100_ft,massgis-chelsea,4350866,191 Williams Street,Williams Street,42.39224573,-71.04380951,Commandants Way & Spruce Street,211,nearest_address
HYD-00568.1,Sturgis Street,12 Sturgis Street,In Service,42,-71.02930469180029,42.399817101738314,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,12 Sturgis Street,Sturgis Street,derived_0_50_ft,massgis-chelsea,3687950,12 Sturgis Street,Sturgis Street,42.39989279,-71.02942155,Lafayette Avenue & Parker Street,136,nearest_address
HYD-00113.1,Highland Street,Near Highland Street & Suffolk Street,In Service,181,-71.03101674108927,42.38667547215683,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,240 Marginal Street,Marginal Street,intersection_preferred_150_plus_ft,massgis-chelsea,3684414,240 Marginal Street,Marginal Street,42.38648012,-71.03039742,Highland Street & Suffolk Street,61,nearest_intersection
HYD-00379.1,Maverick Street,112 Maverick Street,In Service,20,-71.03048461897203,42.38840899566216,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,112 Maverick Street,Maverick Street,derived_0_50_ft,massgis-chelsea,3691051,112 Maverick Street,Maverick Street,42.38846262,-71.03046686,Highland Street & Maverick Street,40,nearest_address
HYD-00645.0,Shurtleff Street,135 Shurtleff Street,In Service,51,-71.03410538511488,42.390784203369705,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,135 Shurtleff Street,Shurtleff Street,derived_50_100_ft,massgis-chelsea,3688753,135 Shurtleff Street,Shurtleff Street,42.39077209,-71.03391772,Central Avenue & Shurtleff Street,250,nearest_address
HYD-00646.0,Washington Avenue,92 Washington Avenue,In Service,39,-71.03261760087699,42.39607541108184,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,92 Washington Avenue,Washington Avenue,derived_0_50_ft,massgis-chelsea,3685396,92 Washington Avenue,Washington Avenue,42.39605561,-71.03275859,Blossom Street & Washington Avenue,32,nearest_address
HYD-00647.0,Washington Avenue,232 Washington Avenue,In Service,57,-71.03305129155976,42.4000356973157,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,232 Washington Avenue,Washington Avenue,derived_50_100_ft,massgis-chelsea,3689947,232 Washington Avenue,Washington Avenue,42.39991209,-71.03318407,Carmel Street & Washington Avenue,239,nearest_address
HYD-00648.0,Eastern Avenue,Near Eastern Avenue & Webster Avenue,In Service,291,-71.01889490282883,42.39859047147299,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,300 Crescent Avenue,Crescent Avenue,intersection_preferred_150_plus_ft,massgis-chelsea,3685444,300 Crescent Avenue,Crescent Avenue,42.39937982,-71.01905976,Eastern Avenue & Webster Avenue,381,nearest_intersection
HYD-00649.0,Shurtleff Street,206 Shurtleff Street,In Service,40,-71.03304126122245,42.3930978995728,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,206 Shurtleff Street,Shurtleff Street,derived_0_50_ft,massgis-chelsea,3696187,206 Shurtleff Street,Shurtleff Street,42.39301900,-71.03314459,Grove Street & Shurtleff Street,32,nearest_address
HYD-00650.0,Carter Street,Near Carter Street & Vale Street,In Service,163,-71.04205772271757,42.39902201872307,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,219 Vale Street,Vale Street,intersection_preferred_150_plus_ft,massgis-chelsea,3687330,219 Vale Street,Vale Street,42.39945850,-71.04220109,Carter Street & Vale Street,231,nearest_intersection
HYD-00651.0,Carter Street,184 Carter Street,In Service,123,-71.03899480776923,42.40032736880769,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,184 Carter Street,Carter Street,derived_100_150_ft,massgis-chelsea,3685660,184 Carter Street,Carter Street,42.40066470,-71.03896091,Bryson Road & Heard Street,288,nearest_address
