objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
13177,26KH96,STREET_FEA 44,181 (STREET_FEA 44),IS,,2611740164,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1533; METERED_FL=U; PLACEMENT=MIGRATED,26KH96,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{BE668D9F-3AD4-5AF9-BF45-9396BBC06F6F},-71.058363768999982,42.366674863000071
13280,25LH102,STREET_FEA 3090,332-376 (STREET_FEA 3090),IS,,2512740003,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2003; METERED_FL=U; PLACEMENT=MIGRATED,25LH102,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{49A29E2D-C0F0-5A24-BDD5-FDCC23CF72FB},-71.051609442999961,42.365753472000051
13353,25LH754,STREET_FEA 341,117 (STREET_FEA 341),IS,1086048000000,2512740156,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1196; METERED_FL=U; PLACEMENT=MIGRATED,25LH754,,,KE,KEK81-A,2003,,,,1,,1177632000000,connorsm,1391644800000,{6EEF634B-9592-5780-846D-04981A32D872},-71.052760297999953,42.361095742000032
13354,26LH62,STREET_FEA 2004,466 (STREET_FEA 2004),IS,,2612740052,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,26LH62,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{7B238607-6B0B-5E55-9E2D-F1B61F0BF888},-71.052562754999940,42.367328626000074
13355,25LH120,STREET_FEA 1082,260 (STREET_FEA 1082),IS,,2512740148,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1670; METERED_FL=N; PLACEMENT=MIGRATED,25LH120,,,DA,ADB-62-B,1990,,,,1,,1177632000000,denapolipd,1248912000000,{7AA030E5-CEED-513C-A9EE-F862130235EB},-71.051192874999970,42.364111283000057
13358,25LH101,STREET_FEA 1763,98 (STREET_FEA 1763),IS,,2512740145,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH101,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{C9A9E2A4-4641-5BED-B1D5-8339BAA38049},-71.052899649999972,42.362699327000030
13360,25LH121,STREET_FEA 1763,65-67 OPP (STREET_FEA 1763),IS,,2512740149,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH121,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{4420D1BE-8602-5E14-B996-9A39EAEE8E1B},-71.053599238999936,42.361997713000051
13362,25LH119,STREET_FEA 3090,232 (STREET_FEA 3090),IS,,2512740146,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4066; METERED_FL=U; PLACEMENT=MIGRATED,25LH119,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{3112327D-F9B4-5550-87F3-B6CC77D1E211},-71.052879227999938,42.363508114000069
13363,25LH122,STREET_FEA 1082,306 (STREET_FEA 1082),IS,,2512740151,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1011; METERED_FL=U; PLACEMENT=MIGRATED,25LH122,,,DA,ADB-62-B,1990,,,,1,,1177632000000,connorsm,1391644800000,{53CDFCD4-9095-5791-B698-D284C0EDDB5B},-71.051177830999961,42.364764159000060
13364,25LH111,STREET_FEA 3090,257 (STREET_FEA 3090),IS,,2512740053,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2527; METERED_FL=U; PLACEMENT=MIGRATED,25LH111,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{86712E4A-77EF-59F9-A0CC-E988CE289572},-71.051984825999966,42.363704019000068
13370,25LH112,STREET_FEA 2527,8 (STREET_FEA 2527),IS,,2512740060,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1763; METERED_FL=U; PLACEMENT=MIGRATED,25LH112,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{10525FC1-8F13-541F-B3CA-503912887343},-71.051856431999965,42.363494709000065
13371,25LH753,STREET_FEA 1082,126-144 (STREET_FEA 1082),IS,,2512740155,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH753,,,KE,KEK81-A,2004,,,,1,,1177632000000,blundonr,1244505600000,{417AB715-7711-5822-B1FF-F46E6263F557},-71.052605609999944,42.362120808000043
13372,25LH751,STREET_FEA 341,101 (STREET_FEA 341),IS,,2512740153,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH751,,,US,USHP,1968,,,,1,,1177632000000,blundonr,1255478400000,{2CBD2774-C0EA-5D17-AB6D-EC5538A1ACB7},-71.052237901999945,42.361770089000061
13374,26LH67,STREET_FEA 6440,40-46 (STREET_FEA 6440),IS,,2612740103,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,26LH67,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{892AAF93-6EEE-5A55-A368-2608E542B87F},-71.051571377999949,42.366464993000079
13375,25LH104,STREET_FEA 1082,326 (STREET_FEA 1082),IS,,2512740018,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4254; METERED_FL=U; PLACEMENT=MIGRATED,25LH104,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{498934C3-AD16-5BFE-8373-FC6E978E0513},-71.051216957999941,42.365307024000060
13377,26KH94,STREET_FEA 846,293 OPP (STREET_FEA 846),IS,,2611740061,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=MIGRATED,26KH94,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{6F46CDC9-E2AB-5ED9-94F9-098CB200B5A3},-71.058264109999982,42.367274459000043
13400,25LH109,STREET_FEA 3090,293 (STREET_FEA 3090),IS,,2512740038,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1670; METERED_FL=U; PLACEMENT=MIGRATED,25LH109,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{F49E06E9-882D-530A-A030-C46BBC008A7C},-71.051710296999943,42.364333046000070
13406,25KH806,STREET_FEA 1122,55 OPP (STREET_FEA 1122),IS,1058486400000,2511740509,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4006; METERED_FL=U; PLACEMENT=MIGRATED,25KH806,,,KE,KEK81-A,2004,,,,1,,1177632000000,blundonr,1244505600000,{CC88E467-AC9E-5816-B22D-5B390CE046DE},-71.057868585999984,42.364354057000071
13414,25LH105,STREET_FEA 3090,334-340 (STREET_FEA 3090),IS,,2512740020,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1011; METERED_FL=U; PLACEMENT=MIGRATED,25LH105,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{38E5EE97-9096-5047-8609-67AA5130D312},-71.051850860999934,42.365095722000035
13419,25LH45,STREET_FEA 1082,210-218 (STREET_FEA 1082),IS,,2512740066,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=341; METERED_FL=U; PLACEMENT=MIGRATED,25LH45,,,US,USHP,1968,,,,1,,1177632000000,connorsm,1286928000000,{E985CE64-2939-5BB7-98CE-E5907BFA3E58},-71.051545214999976,42.363418763000027
13430,25KH808,STREET_FEA 43,64 (STREET_FEA 43),IS,1086048000000,2511740511,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1553; METERED_FL=U; PLACEMENT=MIGRATED,25KH808,,,MU,MUCENT,2005,,,,1,,1177632000000,connorsm,1391644800000,{026830AC-DA3C-590D-A459-ACF6AA74D128},-71.057304577999957,42.363718663000043
13477,25KH206,STREET_FEA 3090,152  OPP (STREET_FEA 3090),IS,1086048000000,2511740248,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25KH206,,,DA,ADB-62-B,1990,,,,1,,1177632000000,chalmersh,1271289600000,{1D3BDDCB-FD87-517C-ABE0-0D6B0E831586},-71.054225685999938,42.362742987000047
13540,26KH86,STREET_FEA 1533,193 (STREET_FEA 1533),IS,,2611330001,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2428; METERED_FL=U; PLACEMENT=MIGRATED,26KH86,,,LO,U,,,,,1,,1177632000000,louisjamey,1456704000000,{7838BE1F-3724-589A-8C61-20BEA33ECE89},-71.057785724999974,42.366261454000039
