objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
5047,21HH2,STREET_FEA 5850,41 (STREET_FEA 5850),IS,694224000000,2108740171,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1640; METERED_FL=U; PLACEMENT=MIGRATED,21HH2,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{30401883-4C56-5E64-8E54-0A31C2AA451E},-71.101927132999947,42.339157515000068
5102,20GH24,STREET_FEA 1642,74 OPP (STREET_FEA 1642),IS,,2007740085,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=532; METERED_FL=U; PLACEMENT=MIGRATED,20GH24,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1230076800000,{6F81BA2A-0E05-556C-92E8-DB7780651651},-71.108584678999989,42.335780384000032
5209,21HH114,STREET_FEA 3615,150 (STREET_FEA 3615),IS,,2108740191,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=mulline,21HH114,,,U,U,,,,,1,,1248048000000,mulline,1248048000000,{273411C8-5552-57DD-94B6-8E96ED59BD76},-71.104729271999986,42.342968811000048
5283,20GH69,STREET_FEA 1719,45 (STREET_FEA 1719),IS,,2007740139,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3739; METERED_FL=U; PLACEMENT=BlundoNR,20GH69,,,KE,KEK81-A,2008,,,,1,,1322006400000,BlundoNR,1322006400000,{BD0F5724-2B37-5A6D-9887-30BA37DCD2EA},-71.106194698999957,42.335084892000054
5312,20HH34,STREET_FEA 2239,665 (STREET_FEA 2239),IS,315532800000,2008740146,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4642; METERED_FL=U; PLACEMENT=MIGRATED,20HH34,,,MU,MUCENT,1979,,,,1,,1177632000000,blundonr,1255478400000,{7C223E64-A041-5E55-8D6A-C796B304E140},-71.102121760999978,42.335292410000079
5415,20GH52,STREET_FEA 2595,340 (STREET_FEA 2595),IS,960595200000,2007740012,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=532; METERED_FL=U; PLACEMENT=MIGRATED,20GH52,,,KE,KEK81-A,1995,,,,1,,1177632000000,mulline,1231718400000,{8594DDE3-9D3E-500E-8531-6990369AFFF3},-71.106475348999936,42.338348261000078
6298,21HH20,STREET_FEA 697,275 (STREET_FEA 697),IS,,2108740108,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=MIGRATED,21HH20,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{B1073393-2A92-5FC6-A08F-AF8A8787F198},-71.104293323999968,42.341883596000059
6319,21HH105,STREET_FEA 697,STREET_FEA 697,IS,,2108740072,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1640; METERED_FL=U; PLACEMENT=MIGRATED,21HH105,,,KE,KEK81,2010,,,,1,,1177632000000,blundonr,1255478400000,{9F82B482-2A4A-5EAA-9A68-AC91D9CBBACC},-71.103295337999953,42.342551770000057
6324,20HH76,STREET_FEA 2239,620 OPP (STREET_FEA 2239),IS,,2008740090,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4143; METERED_FL=U; PLACEMENT=MIGRATED,20HH76,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231804800000,{F3D26E5C-ADA0-5F17-B229-06F5F6A9AB0F},-71.098647702999983,42.336634446000062
6418,21GH26,STREET_FEA 3308,101 OPP (STREET_FEA 3308),IS,,2107740022,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3899; METERED_FL=U; PLACEMENT=MIGRATED,21GH26,,,CL,CLF2500,1983,,,,1,,1177632000000,mulline,1231891200000,{51063A69-771E-5D11-9BD2-C992314DF409},-71.106845181999972,42.340805725000052
