objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
454,23FH134,Ashford Street,Near Ashford Street & Babcock Street,IS,725846400000,2306740039,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=371; METERED_FL=U; PLACEMENT=MIGRATED,23FH134,,,KE,KEK81-A,2007,,,,1,,1177632000000,connorsm,1237852800000,{53C6B607-7072-560D-9B27-05FEBC72DB3D},-71.120906521999984,42.353890128000046,148 (STREET_FEA 318),STREET_FEA 318,165,intersection_preferred_150_plus_ft,boston-sam,161646,134 Ashford St,Ashford St,42.35425904,-71.12126031,Ashford Street & Babcock Street,31,nearest_intersection
458,24FH10,Mansfield St,23 Mansfield St,IS,,2406740080,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2550; METERED_FL=U; PLACEMENT=MIGRATED,24FH10,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{43403052-719A-51A1-BB29-A36C95FF4234},-71.130837504999988,42.357725241000026,23 (STREET_FEA 2676),STREET_FEA 2676,55,derived_50_100_ft,boston-sam,89032,23 Mansfield St,Mansfield St,42.35783867,-71.13070061,Hooker Street & Royal Street,190,nearest_address
463,23EH96,Higgins St,27 Higgins St,IS,,2305740096,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=672; METERED_FL=U; PLACEMENT=MIGRATED,23EH96,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{A9C42328-2431-5202-A302-77959BCD471C},-71.135788592999972,42.352507033000052,26-28 (STREET_FEA 2131),STREET_FEA 2131,37,derived_0_50_ft,boston-sam,73267,27 Higgins St,Higgins St,42.35247967,-71.13565662,Allston Street & Higgins Street,189,nearest_address
478,25EH84,Franklin St,131 Franklin St,IS,,2505740134,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2985; METERED_FL=U; PLACEMENT=MIGRATED,25EH84,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{33207EC3-5810-503C-BC9C-AF9AF8E6B6C3},-71.131993431999945,42.360725995000053,131 (STREET_FEA 1726),STREET_FEA 1726,40,derived_0_50_ft,boston-sam,60605,131 Franklin St,Franklin St,42.36063867,-71.13190061,Franklin Street & Myrick Street,149,nearest_address
520,23EH123,Commonwealth Ave,1238 Commonwealth Ave,IS,936316800000,2305740182,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3702; METERED_FL=U; PLACEMENT=MIGRATED,23EH123,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{8A7F0282-1D1B-55A7-90C3-675C1F035C77},-71.131521132999978,42.349761036000075,1242 (STREET_FEA 1090),STREET_FEA 1090,58,derived_50_100_ft,boston-sam,37127,1238 Commonwealth Ave,Commonwealth Ave,42.34968867,-71.13133061,Commonwealth Avenue & Royce Road,136,nearest_address
646,24FH89,Hooker St,120 Hooker St,IS,,2406740038,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=37; METERED_FL=U; PLACEMENT=MIGRATED,24FH89,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{EA603D7A-5159-5812-82C8-6B3F031AC9A7},-71.125674053999944,42.359434043000078,110-112 (STREET_FEA 2196),STREET_FEA 2196,44,derived_0_50_ft,boston-sam,341995,120 Hooker St,Hooker St,42.35955386,-71.12566164,Hopedale Street & West Sorrento Street,265,nearest_address
726,23EH142,Park Vale Ave,47 Park Vale Ave,IS,1242864000000,2305740098,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=672; METERED_FL=U; PLACEMENT=MIGRATED,23EH142,,,KE,KEK11,1970,,,,1,,1177632000000,chalmersh,1249948800000,{C365FB5B-A3BB-545C-9485-42C9D457E315},-71.133195994999937,42.352486451000061,47 (STREET_FEA 3220),STREET_FEA 3220,58,derived_50_100_ft,boston-sam,107689,47 Park Vale Ave,Park Vale Ave,42.35248867,-71.13298061,Brighton Avenue & Park Vale Avenue,214,nearest_address
732,23FH138,Commonwealth Ave,989 Commonwealth Ave,IS,1059696000000,2306740146,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=371; METERED_FL=U; PLACEMENT=MIGRATED,23FH138,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{781272C0-AA6C-59E4-ADFB-75760C8BB5F2},-71.120562372999984,42.351861062000069,989 (STREET_FEA 1093),STREET_FEA 1093,88,derived_50_100_ft,boston-sam,41315,989 Commonwealth Ave,Commonwealth Ave,42.35209467,-71.12064361,Commonwealth Avenue & Crowninshield Road,132,nearest_address
734,24FH8,Mansfield St,9 Mansfield St,IS,,2406740093,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2550; METERED_FL=U; PLACEMENT=MIGRATED,24FH8,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{AA3C9124-075E-5E9E-A9E1-16A493614963},-71.130448341999966,42.357130885000061,9 (STREET_FEA 2676),STREET_FEA 2676,42,derived_0_50_ft,boston-sam,89052,9 Mansfield St,Mansfield St,42.35719697,-71.13032004,Lincoln Street & Mansfield Street,109,nearest_address
781,23EH130,Radcliffe Rd,17 Radcliffe Rd,IS,,2305740154,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3496; METERED_FL=U; PLACEMENT=MIGRATED,23EH130,,,MU,MUCENT,1984,,,,1,,1177632000000,blundonr,1255478400000,{E39C85D7-114A-5CC2-AD47-213EFA6189B7},-71.134578984999962,42.351057175000051,17 (STREET_FEA 3497),STREET_FEA 3497,44,derived_0_50_ft,boston-sam,114262,17 Radcliffe Rd,Radcliffe Rd,42.35114867,-71.13447061,Quint Avenue & Radcliffe Road,280,nearest_address
