objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
638,21JH58,W Newton St,63 W Newton St,IS,315532800000,2110740208,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3062; METERED_FL=U; PLACEMENT=MIGRATED,21JH58,,,US,USSEN,1980,,,,1,,1177632000000,blundonr,1255478400000,{F561FFE8-61EF-59D7-AB2E-D3BA7925E5DB},-71.075140570999963,42.340226046000055,63 (STREET_FEA 91),STREET_FEA 91,34,derived_0_50_ft,boston-sam,419327,63 W Newton St,W Newton St,42.34029255,-71.07505221,Newland Street & West Newton Street,123,nearest_address
721,21JH146,Harrison Ave,623-635 Harrison Ave,IS,,2110740265,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=11; METERED_FL=U; PLACEMENT=MIGRATED,21JH146,,,MU,MUCENT,1975,,,,1,,1177632000000,blundonr,1255478400000,{6ABB77C0-2AD5-5243-855F-539DEA548504},-71.069837120999978,42.339281980000067,611 (STREET_FEA 2032),STREET_FEA 2032,59,derived_50_100_ft,boston-sam,419363,623-635 Harrison Ave,Harrison Ave,42.33943210,-71.06992224,East Dedham Street & Harrison Avenue,42,nearest_address
739,22JH200,Montgomery St,22 Montgomery St,IS,,2210740366,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4253; METERED_FL=U; PLACEMENT=MIGRATED,22JH200,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{480EE510-5826-5BCA-A4FB-9823FEFE6F42},-71.072700919999988,42.344011147000060,22 OPP (STREET_FEA 2904),STREET_FEA 2904,68,derived_50_100_ft,boston-sam,96662,22 Montgomery St,Montgomery St,42.34382867,-71.07275059,Montgomery Street & Union Park,23,nearest_address
762,22JH212,Paul Pl,22-28 Paul Pl,IS,1059955200000,2210740236,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3868; METERED_FL=U; PLACEMENT=MIGRATED,22JH212,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1224460800000,{286996D8-B0D3-50C5-879A-6822A7051A31},-71.067271259999984,42.346238404000076,STREET_FEA 4756,STREET_FEA 4756,98,derived_50_100_ft,boston-sam,341662,22-28 Paul Pl,Paul Pl,42.34650505,-71.06722660,Castle Court & Emerald Court,345,nearest_address
815,22JH202,Tremont St,410-438 Tremont St,IS,157766400000,2210740171,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2115; METERED_FL=U; PLACEMENT=MIGRATED,22JH202,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{E9CAA432-95D7-54A6-BC74-20F06950AB50},-71.068708897999954,42.347087797000029,410 (STREET_FEA 4217),STREET_FEA 4217,81,derived_50_100_ft,boston-sam,421271,410-438 Tremont St,Tremont St,42.34687191,-71.06863691,Arlington Street & Herald Street,149,nearest_address
817,22JH140,Berkeley Street,Near Berkeley Street & East Berkeley Street,IS,1056931200000,2210740286,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1; METERED_FL=U; PLACEMENT=MIGRATED,22JH140,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1224460800000,{DE1CAB3F-36EE-5BB4-A3E0-F44108FCDEB6},-71.069632083999977,42.345409846000052,498 (STREET_FEA 2417),STREET_FEA 2417,201,intersection_preferred_150_plus_ft,boston-sam,343908,514-518 Tremont St,Tremont St,42.34488546,-71.06986234,Berkeley Street & East Berkeley Street,71,nearest_intersection
820,22JH196,Emerald Ct,10-18 Emerald Ct,IS,1059955200000,2210740259,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1; METERED_FL=U; PLACEMENT=MIGRATED,22JH196,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1224460800000,{F1804922-8344-5EE2-AD95-6642F775E0DF},-71.067696052999963,42.345824957000048,STREET_FEA 4756,STREET_FEA 4756,70,derived_50_100_ft,boston-sam,341669,10-18 Emerald Ct,Emerald Ct,42.34595638,-71.06750424,Castle Court & Emerald Court,250,nearest_address
905,20JH1,Albany St,650 Albany St,IS,,2010740163,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=21; METERED_FL=U; PLACEMENT=MIGRATED,20JH1,,,DA,ADB-84-B,1992,,,,1,,1177632000000,chalmersh,1225152000000,{5F077F5F-5583-5AB1-8F2C-859A62D64B7D},-71.069926554999938,42.335930338000026,650 (STREET_FEA 160),STREET_FEA 160,121,derived_100_150_ft,boston-sam,1563,650 Albany St,Albany St,42.33600467,-71.06948859,Albany Street & East Newton Street,44,nearest_address
963,20JH194,Harrison Ave,750 Harrison Ave,IS,,2010740123,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=21; METERED_FL=U; PLACEMENT=MIGRATED,20JH194,,,MU,MUCENT,1985,,,,1,,1177632000000,chalmersh,1225152000000,{CC17F7CF-6B33-5700-A2CC-9A30180A1B69},-71.072144940999976,42.336683965000077,750 BACK (STREET_FEA 2032),STREET_FEA 2032,84,derived_50_100_ft,boston-sam,166046,750 Harrison Ave,Harrison Ave,42.33689054,-71.07200544,East Newton Street & Harrison Avenue,298,nearest_address
975,21IH192,Greenwich Park,40 Greenwich Park,IS,,2109740077,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3474; METERED_FL=U; PLACEMENT=MIGRATED,21IH192,,,MU,MUCENT,1979,,,,1,,1177632000000,chalmersh,1225238400000,{F3D7CCF8-5818-54FD-B3C9-C41291995310},-71.081207102999940,42.342974884000057,40 (STREET_FEA 1927),STREET_FEA 1927,38,derived_0_50_ft,boston-sam,66825,40 Greenwich Park,Greenwich Park,42.34288767,-71.08128460,Claremont Street & Greenwich Park,43,nearest_address
